"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686155710140862E9,"2023-06-07 18:35:10.141 UTC+02:00"
"PAUSE",4.188759945833590E1,1.686155752028504E9,"2023-06-07 18:35:52.029 UTC+02:00"
