"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686203541215904E9,"2023-06-08 07:52:21.216 UTC+02:00"
"PAUSE",1.812380591666806E1,1.686203559340176E9,"2023-06-08 07:52:39.340 UTC+02:00"
