label,PAUSE,START
crunch,39.63382367,1.9894835419999999
jumpingjack,31.37846242,1.150802917
legraise,26.48589479,1.8617207080000002
lunge,38.43241517,1.931337417
pushup,19.7650175,3.604729625
squad,25.41748154,2.3435692919999997
