"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.903088750E-1,-5.198850036E-1,1.200069070E0,-2.205212831E0
9.003278750E-1,-7.772302628E-1,6.898747087E-1,-2.273432255E0
9.103478750E-1,-1.031523585E0,-1.698823571E-1,-2.513525724E0
9.203668750E-1,-1.189348102E0,-1.254886270E0,-2.704314470E0
9.303868750E-1,-1.256113529E0,-2.219201565E0,-2.566524267E0
9.404058750E-1,-1.288513303E0,-2.774775982E0,-2.275777817E0
9.504258750E-1,-1.170704603E0,-2.684934855E0,-2.109508276E0
9.604448750E-1,-7.971143126E-1,-2.035513163E0,-1.775695443E0
9.704638750E-1,-1.613969952E-1,-1.005837321E0,-6.005048156E-1
9.804838750E-1,3.042353392E-1,5.819892287E-1,8.119922280E-1
9.905028750E-1,3.127374649E-1,2.120772123E0,1.219897866E0
1.000522875E0,1.834605038E-1,2.578964949E0,7.637554407E-1
1.010541875E0,4.677129984E-1,2.487086691E-2,1.399408579E-1
1.020561875E0,5.087563396E-1,-1.457357168E0,-5.833032131E-1
1.030580875E0,-2.482285500E-1,-2.668022871E0,-1.297639251E0
1.040599417E0,-1.461004019E0,-3.433937788E0,-1.564957976E0
1.050619417E0,-2.259988070E0,-3.798867702E0,-1.527509451E0
1.060638417E0,-2.536891460E0,-3.726450682E0,-1.541929483E0
1.070658417E0,-2.691479445E0,-2.493967533E0,-1.432508469E0
1.080677417E0,-2.548894882E0,-6.565998197E-1,-1.479706645E0
1.090697417E0,-1.993521214E0,1.388084888E0,-1.577023387E0
1.100716417E0,-1.086119413E0,3.933270454E0,-1.437119246E0
1.110735417E0,-1.029865593E-1,6.354515076E0,-1.054472566E0
1.120755417E0,6.827446222E-1,8.022012711E0,-4.876042008E-1
1.130774417E0,1.215334773E0,8.734683037E0,1.686602086E-1
1.140794417E0,1.494550586E0,7.904965878E0,8.983257413E-1
1.150813417E0,1.766996264E0,4.259370327E0,1.993709922E0
1.160833417E0,1.837909102E0,1.624189317E-1,3.405337334E0
1.170852417E0,1.224647522E0,-3.168934822E0,3.081000805E0
1.180872417E0,-3.541429341E-2,-4.668408394E0,2.609719336E-1
1.190891417E0,-1.046059251E0,-3.377151251E0,-1.019865274E0
1.200910417E0,-2.574984789E0,-1.297644854E0,-7.540180683E-1
1.210930417E0,-3.380241871E0,4.345701337E-1,-1.855405271E-1
1.220949417E0,-2.709311962E0,1.516952634E0,5.290779099E-2
1.230969417E0,-1.506118774E0,1.786037922E0,2.383647412E-1
1.240988417E0,-6.222186685E-1,1.497234941E0,4.075283706E-1
1.251008417E0,-2.472932488E-1,8.907859325E-1,2.927253544E-1
1.261027417E0,-1.397503167E-1,4.862919748E-1,-1.786220260E-2
1.271046417E0,-1.983406544E-1,3.121763766E-1,-8.792784065E-2
1.281066417E0,-2.452990115E-1,2.554629147E-1,-2.312500961E-3
