"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686146057562154E9,"2023-06-07 15:54:17.562 UTC+02:00"
"PAUSE",4.580374137499894E1,1.686146103364950E9,"2023-06-07 15:55:03.365 UTC+02:00"
