"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686154519741878E9,"2023-06-07 18:15:19.742 UTC+02:00"
"PAUSE",4.021850766666466E1,1.686154559960417E9,"2023-06-07 18:15:59.960 UTC+02:00"
