"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686145951421345E9,"2023-06-07 15:52:31.421 UTC+02:00"
"PAUSE",5.633705787499639E1,1.686146007757239E9,"2023-06-07 15:53:27.757 UTC+02:00"
