"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686145867868243E9,"2023-06-07 15:51:07.868 UTC+02:00"
"PAUSE",4.415417824999895E1,1.686145912021509E9,"2023-06-07 15:51:52.022 UTC+02:00"
