timestep,x,y,z,timestamps,date
0.05568983333,-1.589076877,-1.97619164,-0.9684999585,1.4549561057119122e+18,2016-02-08 18:28:25.711912192
0.06568483333,-1.357809305,-1.603903294,-1.192234278,1.4549561057219072e+18,2016-02-08 18:28:25.721907200
0.07567983333,-0.9807069898,-1.17932415,-1.423824549,1.4549561057319022e+18,2016-02-08 18:28:25.731902208
0.08567483332999999,-0.6606549025,-0.920943737,-1.6148232219999998,1.4549561057418972e+18,2016-02-08 18:28:25.741897216
0.09566983332999998,-0.5082578659,-0.6766536236,-1.695492864,1.4549561057518922e+18,2016-02-08 18:28:25.751892224
0.1056648333,-0.9701250792,-0.2820279598,-1.6011796,1.4549561057618872e+18,2016-02-08 18:28:25.761887232
0.1156598333,-1.410825491,0.2793285847,-1.226747155,1.4549561057718822e+18,2016-02-08 18:28:25.771882240
0.1256548333,-1.943226576,0.4646273851,-0.6668625474000001,1.4549561057818772e+18,2016-02-08 18:28:25.781877248
0.1356498333,-2.460732937,0.2774555981,-0.119561322,1.4549561057918723e+18,2016-02-08 18:28:25.791872256
0.1456458333,-2.956408024,-0.1718625277,0.3323595226,1.4549561058018683e+18,2016-02-08 18:28:25.801868288
0.1556408333,-3.3475472930000003,-0.6774927973999999,0.71473068,1.4549561058118633e+18,2016-02-08 18:28:25.811863296
0.1656358333,-3.5395643710000004,-1.244477391,1.062100649,1.4549561058218583e+18,2016-02-08 18:28:25.821858304
0.17563083329999998,-3.552582741,-1.713977933,1.278022528,1.4549561058318533e+18,2016-02-08 18:28:25.831853312
0.1856258333,-3.494067669,-1.593917847,1.338267207,1.4549561058418483e+18,2016-02-08 18:28:25.841848320
0.1956208333,-3.372000694,-1.162249207,1.2853719,1.4549561058518433e+18,2016-02-08 18:28:25.851843328
0.2056158333,-3.170666695,-0.8994287848,1.179206848,1.4549561058618383e+18,2016-02-08 18:28:25.861838336
0.2156108333,-2.824986458,-1.098615885,1.026313663,1.4549561058718333e+18,2016-02-08 18:28:25.871833344
0.2256058333,-2.335807085,-1.658008695,0.9349401593,1.4549561058818284e+18,2016-02-08 18:28:25.881828352
0.2356008333,-1.737779379,-2.176171541,0.990698278,1.4549561058918234e+18,2016-02-08 18:28:25.891823360
0.2455958333,-1.038306236,-2.432706594,1.159429431,1.4549561059018184e+18,2016-02-08 18:28:25.901818368
0.2555908333,-0.3653979301,-2.107659101,1.404057026,1.4549561059118134e+18,2016-02-08 18:28:25.911813376
0.2655858333,0.189354226,-1.3135868309999998,1.6175203319999998,1.4549561059218084e+18,2016-02-08 18:28:25.921808384
0.2755808333,0.6055307388000001,-0.5407215357,1.7036166190000002,1.4549561059318034e+18,2016-02-08 18:28:25.931803392
0.2855768333,1.014117122,-0.17459891739999994,1.695811749,1.4549561059417994e+18,2016-02-08 18:28:25.941799424
0.2955718333,1.526288748,-0.3350972831,1.62767756,1.4549561059517942e+18,2016-02-08 18:28:25.951794176
0.3055668333,2.110647917,-1.034748554,1.480895638,1.4549561059617892e+18,2016-02-08 18:28:25.961789184
0.3155618333,2.66533041,-2.186344624,1.222522616,1.4549561059717842e+18,2016-02-08 18:28:25.971784192
0.3255568333,3.120575905,-3.377349377,0.8767499924,1.4549561059817792e+18,2016-02-08 18:28:25.981779200
0.3355518333,3.518226147,-4.138238907,0.4859198034,1.4549561059917742e+18,2016-02-08 18:28:25.991774208
0.3455468333,3.780130863,-3.160780668,0.05418330804,1.4549561060017692e+18,2016-02-08 18:28:26.001769216
0.3555418333,3.52722311,-2.84037447,-0.4684433639,1.4549561060117642e+18,2016-02-08 18:28:26.011764224
0.3655368333,2.897133589,-2.60166049,-0.7617897390999999,1.4549561060217592e+18,2016-02-08 18:28:26.021759232
0.3755318333,2.188695431,-2.163605928,-0.7867432237,1.4549561060317542e+18,2016-02-08 18:28:26.031754240
0.3855268333,1.4534735680000002,-1.828833699,-0.6639339328,1.4549561060417492e+18,2016-02-08 18:28:26.041749248
0.3955218333,0.9927419424,-1.703018665,-0.4184085429,1.4549561060517443e+18,2016-02-08 18:28:26.051744256
0.4055168333,0.8612536787999999,-1.327299953,-0.2013667673,1.4549561060617393e+18,2016-02-08 18:28:26.061739264
0.4155128333,0.5749940276,-0.632098794,-0.1925341487,1.4549561060717353e+18,2016-02-08 18:28:26.071735296
0.4255078333,0.2180721164,-0.04431781918,-0.2072481215,1.4549561060817303e+18,2016-02-08 18:28:26.081730304
0.4355028333,-0.00199021725,0.2629264593,0.021413523700000003,1.4549561060917253e+18,2016-02-08 18:28:26.091725312
0.4454978333,-0.03554311767,0.2158007622,0.401602149,1.4549561061017203e+18,2016-02-08 18:28:26.101720320
0.4554928333,0.05260214955,-0.1399278045,0.8298278451000001,1.4549561061117153e+18,2016-02-08 18:28:26.111715328
0.4654878333,0.29385018350000003,-0.5206972361,1.259768486,1.4549561061217103e+18,2016-02-08 18:28:26.121710336
0.4754828333,0.6390421987,-0.9591299295,1.544372559,1.4549561061317053e+18,2016-02-08 18:28:26.131705344
0.4854778333,1.012964964,-1.4388322830000002,1.55587244,1.4549561061417004e+18,2016-02-08 18:28:26.141700352
0.4954728333,1.3287327290000002,-1.797354221,1.332792282,1.4549561061516954e+18,2016-02-08 18:28:26.151695360
0.5054678333,1.482020974,-1.97444272,1.017493725,1.4549561061616904e+18,2016-02-08 18:28:26.161690368
0.5154628333,1.386137605,-1.919531584,0.9080123901,1.4549561061716854e+18,2016-02-08 18:28:26.171685376
0.5254578333,1.21635282,-1.857904434,1.253299832,1.4549561061816804e+18,2016-02-08 18:28:26.181680384
0.5354528332999999,1.042108893,-1.710075021,1.732243061,1.4549561061916754e+18,2016-02-08 18:28:26.191675392
0.5454478333,0.9216216207,-1.703150034,2.061790228,1.4549561062016704e+18,2016-02-08 18:28:26.201670400
0.5554438333,0.9166551232,-2.110453129,2.162030935,1.4549561062116662e+18,2016-02-08 18:28:26.211666176
0.5654388333,1.084702849,-2.6735804080000003,2.363009691,1.4549561062216612e+18,2016-02-08 18:28:26.221661184
0.5754338333,1.333602905,-3.244674683,2.700056553,1.4549561062316562e+18,2016-02-08 18:28:26.231656192
0.5854288333,1.533568144,-3.972849607,3.007659435,1.4549561062416512e+18,2016-02-08 18:28:26.241651200
0.5954238332999999,1.7240129709999998,-4.90611124,3.260983706,1.4549561062516462e+18,2016-02-08 18:28:26.251646208
0.6054188333,1.882312059,-5.761004448,3.632740021,1.4549561062616412e+18,2016-02-08 18:28:26.261641216
0.6154138333,1.958683014,-6.191631317000001,4.010359764,1.4549561062716362e+18,2016-02-08 18:28:26.271636224
0.6254088333,1.8525243999999998,-6.256977557999999,4.365393162,1.4549561062816312e+18,2016-02-08 18:28:26.281631232
0.6354038332999999,1.5782527919999998,-5.922836304,4.735445976,1.4549561062916262e+18,2016-02-08 18:28:26.291626240
0.6453988333,1.187053561,-5.025391102,5.112305641,1.4549561063016212e+18,2016-02-08 18:28:26.301621248
