timestep,x,y,z,timestamps,date
0.001967749999,-4.420457611000001,4.815935211,6.6939299010000015,1.4549561056581903e+18,2016-02-08 18:28:25.658190336
0.01196275,-4.536316681000001,5.03717514,7.161707152999999,1.454956105668185e+18,2016-02-08 18:28:25.668185088
0.021957833330000003,-4.415517883,4.602479095,7.480993195,1.4549561056781804e+18,2016-02-08 18:28:25.678180352
0.03195283333,-3.798650665,3.957769775,7.709567871,1.4549561056881754e+18,2016-02-08 18:28:25.688175360
0.04194783333,-3.340303802,3.778143311,8.242759094,1.4549561056981704e+18,2016-02-08 18:28:25.698170368
0.051942833330000014,-3.307372284,4.121229858,8.976682892000001,1.4549561057081654e+18,2016-02-08 18:28:25.708165376
0.06193783333,-3.443738708,4.432432709,10.12404694,1.4549561057181604e+18,2016-02-08 18:28:25.718160384
0.07193283333,-3.458258514,4.236041107,9.40988205,1.4549561057281554e+18,2016-02-08 18:28:25.728155392
0.08192783332999999,-2.585573273,3.45406723,9.373657378999999,1.4549561057381504e+18,2016-02-08 18:28:25.738150400
0.09192283332999998,-1.6817527769999998,2.391127625,10.028994599999999,1.4549561057481454e+18,2016-02-08 18:28:25.748145408
0.1019178333,-1.6429833980000002,2.014660492,9.845775604,1.4549561057581404e+18,2016-02-08 18:28:25.758140416
0.1119128333,-1.866618347,2.009421387,10.03812561,1.4549561057681354e+18,2016-02-08 18:28:25.768135424
0.1219078333,-1.714085541,2.466271362,8.982071686,1.4549561057781302e+18,2016-02-08 18:28:25.778130176
0.1319028333,-1.721270599,2.945424957,10.55200699,1.4549561057881252e+18,2016-02-08 18:28:25.788125184
0.1418988333,-1.918710022,2.698588257,11.58755356,1.4549561057981212e+18,2016-02-08 18:28:25.798121216
0.1518938333,-2.672392731,2.469115448,12.054133300000002,1.4549561058081162e+18,2016-02-08 18:28:25.808116224
0.1618888333,-3.089724884,2.303709412,11.54594009,1.4549561058181112e+18,2016-02-08 18:28:25.818111232
0.17188383329999998,-2.583028564,2.217788086,11.34535721,1.4549561058281062e+18,2016-02-08 18:28:25.828106240
0.1818788333,-2.309547272,2.284848633,10.97802109,1.4549561058381012e+18,2016-02-08 18:28:25.838101248
0.1918738333,-1.806144104,1.775906982,8.813522186,1.4549561058480963e+18,2016-02-08 18:28:25.848096256
0.2018688333,-0.9478289795,1.328936462,7.653733977999999,1.4549561058580913e+18,2016-02-08 18:28:25.858091264
0.2118638333,-0.549357605,1.012494507,8.664282532,1.4549561058680863e+18,2016-02-08 18:28:25.868086272
0.2218588333,-0.7441026306,0.5866300964,11.47932861,1.4549561058780813e+18,2016-02-08 18:28:25.878081280
0.2318538333,-1.337019653,0.5718109131,13.74097549,1.4549561058880763e+18,2016-02-08 18:28:25.888076288
