timestep,dis,timestamps,date
0.008132625,5.0,1.454956105664355e+18,2016-02-08 18:28:25.664355072
0.8399349167,0.0,1.4549561064961574e+18,2016-02-08 18:28:26.496157440
22.68822262,5.0,1.4549561283444452e+18,2016-02-08 18:28:48.344445184
22.691376786669,5.0,1.4549561283475994e+18,2016-02-08 18:28:48.347599360
23.4134527033,0.0,1.4549561290696753e+18,2016-02-08 18:28:49.069675264
40.4964707,5.0,1.4549561461526932e+18,2016-02-08 18:29:06.152693248
40.499923408333004,5.0,1.454956146156146e+18,2016-02-08 18:29:06.156145920
41.293721991700004,0.0,1.4549561469499446e+18,2016-02-08 18:29:06.949944576
55.36036616,5.0,1.4549561610165885e+18,2016-02-08 18:29:21.016588544
55.364002493335,5.0,1.454956161020225e+18,2016-02-08 18:29:21.020225024
56.0984062017,0.0,1.4549561617546286e+18,2016-02-08 18:29:21.754628608
78.40315549,5.0,1.454956184059378e+18,2016-02-08 18:29:44.059377920
78.405835323331,5.0,1.4549561840620577e+18,2016-02-08 18:29:44.062057728
79.2191371983,0.0,1.4549561848753597e+18,2016-02-08 18:29:44.875359744
96.84860816,5.0,1.4549562025048307e+18,2016-02-08 18:30:02.504830720
96.852994868333,5.0,1.4549562025092173e+18,2016-02-08 18:30:02.509217280
97.5347388683,0.0,1.4549562031909614e+18,2016-02-08 18:30:03.190961408
115.99801799,5.0,1.4549562216542405e+18,2016-02-08 18:30:21.654240512
