timestep,latitude,longitude,h,vel,dir,hor_acc,ver_acc,timestamps
0.03409802914,52.36612664,4.879448065,5.8118216989999985,-1.0,-1.0,10.77028042,10.77028042,1686140010.670972
0.5646220446,52.36612664,4.879448065,5.450134277,-1.0,-1.0,10.77028042,10.77028042,1686140011.2014961
4.95837903,52.3660912,4.879548839,2.408051313,0.2385076284,162.0192968,19.65252242,19.65252242,1686140015.595253
5.957386494,52.366091600000004,4.87954147,2.393500297,0.1498772949,288.25355319999994,16.50470342,16.50470342,1686140016.5942605
6.956393957,52.36610036,4.879522613,2.389669104,0.1688156426,29.80302212,14.95145705,14.95145705,1686140017.593268
7.959401846,52.36608981,4.87954603,2.412818051,0.01612689719,8.665199077999999,12.80894009,12.80894009,1686140018.5962758
8.90909791,52.36608799,4.879539638,2.433525525,0.1251315773,80.07439295,11.28478713,11.28478713,1686140019.5459719
9.858747125,52.36607571,4.879503009,2.559829834,0.06059543788,166.031226,10.35032953,10.35032953,1686140020.4956212
10.80875635,52.36608009,4.879514653999999,2.550843576,0.06485326588,41.60535928,12.93050282,12.93050282,1686140021.4456303
11.75873923,52.36607746,4.879515336,2.595278179,0.09859326482,300.1797599,17.7424029,17.7424029,1686140022.3956132
12.70872569,52.36607777,4.879518126000001,2.57034413,0.1659544259,181.1755298,9.23197693,9.23197693,1686140023.3455997
13.65873325,52.36607342,4.879519828,2.577350752,0.1652844101,191.5985899,11.12074015,11.12074015,1686140024.2956073
14.64572179,52.36607416,4.879523522,2.564539973,0.1053929478,228.21397400000004,8.57986481,8.57986481,1686140025.2825956
15.64571285,52.36607416,4.879523522,2.564540041,0.1053929478,-1.0,8.57986481,8.57986481,1686140026.2825868
16.64572787,52.36607279,4.879519619,2.578468467,0.1796108186,317.2896936,8.138221369,8.138221369,1686140027.2826018
17.64571905,52.36607594,4.879532237,2.601075281,0.03739660233,-1.0,7.962767697999999,7.962767697999999,1686140028.282593
18.64571202,52.3660744,4.879530975,2.593463597,0.04178326204,-1.0,7.82188586,7.82188586,1686140029.282586
19.64573085,52.36607603,4.879530339,2.583706493,0.1471639872,-1.0,8.086967599,8.086967599,1686140030.2826047
20.64572871,52.36608059,4.879527391,2.640257858,0.1628540009,8.480575623,7.927530056,7.927530056,1686140031.2826028
21.64572585,52.36607262,4.879529634,2.56957409,0.04629542306,-1.0,10.66476007,10.66476007,1686140032.2826
22.64574611,52.36607696,4.879525363,2.548186344,0.3862520456,343.6119983,14.75345053,14.75345053,1686140033.28262
23.64576542,52.36608168,4.879520424,2.647937843,0.1531513631,-1.0,6.0325937320000005,6.0325937320000005,1686140034.2826393
23.6677874289,52.36612664,4.879448065,7.2530636789999985,-1.0,-1.0,10.77028042,10.77028042,1686140034.3046613
24.2828344069,52.36612664,4.879448065,5.015775919,-1.0,-1.0,10.77028042,10.77028042,1686140034.9197083
27.076430436,52.36612664,4.879448065,4.541585326,-1.0,-1.0,10.77028042,10.77028042,1686140037.7133043
29.514202829000002,52.3661038,4.879627167,2.429483673,0.054739389570000005,203.780418,19.60627429,19.60627429,1686140040.1510768
30.513214345999998,52.36611558,4.879643486,2.392284455,0.2801268399,41.78510654,16.94382127,16.94382127,1686140041.1500883
31.511224505,52.36611566,4.879628544,2.375597697,0.1216269806,52.44220016,16.17443681,16.17443681,1686140042.1480985
32.514234062,52.36610149,4.879631311,2.379712511,0.1468364447,137.7224639,12.79499665,12.79499665,1686140043.151108
33.516245242,52.36609347,4.879620500000001,2.472886056,0.1468364447,214.1841959,15.15281419,15.15281419,1686140044.153119
34.51425587999999,52.36609943,4.87958972,2.519021563,0.2892609239,104.3465704,9.40808874,9.40808874,1686140045.1511297
35.46402966999999,52.3661012,4.879598125,2.492074278,0.15380854900000002,126.9632605,10.73782789,10.73782789,1686140046.1009037
36.41327309,52.36609707,4.879600665,2.487564444,0.1847447902,103.9243697,9.597676031,9.597676031,1686140047.050147
37.36328387,52.36608959,4.879589169,2.489344183,0.1847447902,229.41822030000003,9.203338915,9.203338915,1686140048.0001578
38.31327748,52.36608959,4.879589169,2.489344251,0.1847447902,-1.0,9.203338915,9.203338915,1686140048.9501514
39.26326632,52.36608627,4.879581295,2.4789915540000003,0.1918310821,-1.0,9.974751292,9.974751292,1686140049.9001403
40.21328151,52.3660928,4.879576272,2.471827541,0.1091761515,-1.0,7.806470032999999,7.806470032999999,1686140050.8501554
41.16328382,52.366088,4.879575334,2.471703403,0.3847314417,284.4252159,9.209531089,9.209531089,1686140051.8001578
42.11327982,52.36609585,4.879607007,2.566856493,0.3847314417,27.83450924,7.088485911,7.088485911,1686140052.7501538
42.3255321985,52.366067799999996,4.879553612,2.609712283,0.163133204,134.9973514,18.51687657,18.51687657,1686140052.9624062
43.27496111399999,52.36606667,4.879546549,2.603290024,0.1176323667,155.1932291,8.279591457,8.279591457,1686140053.9118352
44.224971771999996,52.36606568,4.87954724,2.65422851,0.2498982996,142.51723710000005,12.05786011,12.05786011,1686140054.8618457
45.17500031,52.36606992,4.879543698,2.7668552760000003,0.1131603643,270.34866560000006,8.750363748,8.750363748,1686140055.8118744
46.125008106999985,52.36606773,4.879538304,2.793851674,0.2498982996,209.7522406,10.66646579,10.66646579,1686140056.761882
47.075013161,52.36606773,4.879538304,2.79385174,0.2498982996,-1.0,10.66646579,10.66646579,1686140057.7118871
48.025040626999996,52.36606793,4.879517808,2.856666365,0.29452738170000003,243.5205382,12.81220881,12.81220881,1686140058.6619146
