timestep,x,timestamps,date
-0.5353771667,1015.577698,1.4549561051208453e+18,2016-02-08 18:28:25.120845312
0.5016278332999999,1015.606689,1.4549561061578504e+18,2016-02-08 18:28:26.157850368
1.5383698330000002,1015.577698,1.4549561071945923e+18,2016-02-08 18:28:27.194592256
2.575079833,1015.635681,1.4549561082313024e+18,2016-02-08 18:28:28.231302400
3.611561833,1015.584259,1.4549561092677842e+18,2016-02-08 18:28:29.267784192
4.647980833,1015.652466,1.4549561103042033e+18,2016-02-08 18:28:30.304203264
4.780185833,1015.591965,1.4549561104364083e+18,2016-02-08 18:28:30.436408320
5.739622832999999,1015.649033,1.4549561113958454e+18,2016-02-08 18:28:31.395845376
6.699042832999999,1015.594177,1.4549561123552653e+18,2016-02-08 18:28:32.355265280
7.658346832999999,1015.649033,1.4549561133145692e+18,2016-02-08 18:28:33.314569216
8.617559833,1015.59494,1.4549561142737823e+18,2016-02-08 18:28:34.273782272
9.576862833,1015.651474,1.4549561152330852e+18,2016-02-08 18:28:35.233085184
10.53594883,1015.59494,1.4549561161921713e+18,2016-02-08 18:28:36.192171264
11.49506883,1015.643234,1.4549561171512914e+18,2016-02-08 18:28:37.151291392
12.45411683,1015.592041,1.4549561181103393e+18,2016-02-08 18:28:38.110339328
13.41306583,1015.63591,1.4549561190692882e+18,2016-02-08 18:28:39.069288192
14.37183383,1015.610504,1.4549561200280563e+18,2016-02-08 18:28:40.028056320
15.33054983,1015.63591,1.4549561209867722e+18,2016-02-08 18:28:40.986772224
16.28917983,1015.645065,1.4549561219454024e+18,2016-02-08 18:28:41.945402368
17.24783883,1015.646515,1.4549561229040612e+18,2016-02-08 18:28:42.904061184
18.20641883,1015.656967,1.4549561238626414e+18,2016-02-08 18:28:43.862641408
19.16501183,1015.657501,1.4549561248212342e+18,2016-02-08 18:28:44.821234176
20.12329683,1015.658188,1.4549561257795192e+18,2016-02-08 18:28:45.779519232
21.08153383,1015.657501,1.4549561267377564e+18,2016-02-08 18:28:46.737756416
22.03986983,1015.632629,1.4549561276960924e+18,2016-02-08 18:28:47.696092416
21.5129595383,1015.535736,1.454956127169182e+18,2016-02-08 18:28:47.169181952
22.5512515383,1015.535583,1.454956128207474e+18,2016-02-08 18:28:48.207473920
23.589569538000003,1015.535736,1.454956129245792e+18,2016-02-08 18:28:49.245792000
24.627796538000002,1015.564041,1.454956130284019e+18,2016-02-08 18:28:50.284018944
25.665855538000002,1015.569077,1.454956131322078e+18,2016-02-08 18:28:51.322077952
26.703753538,1015.564041,1.454956132359976e+18,2016-02-08 18:28:52.359975936
26.833684538000004,1015.592346,1.454956132489907e+18,2016-02-08 18:28:52.489906944
27.794199538,1015.590057,1.454956133450422e+18,2016-02-08 18:28:53.450422016
28.754855538,1015.592346,1.454956134411078e+18,2016-02-08 18:28:54.411077888
29.715669538,1015.591278,1.454956135371892e+18,2016-02-08 18:28:55.371891968
30.676342538000004,1015.60318,1.454956136332565e+18,2016-02-08 18:28:56.332564992
31.636797538000003,1015.596466,1.45495613729302e+18,2016-02-08 18:28:57.293019904
32.59721954,1015.598602,1.454956138253442e+18,2016-02-08 18:28:58.253442048
33.557527539999995,1015.596466,1.45495613921375e+18,2016-02-08 18:28:59.213750016
34.51767853999999,1015.596085,1.454956140173901e+18,2016-02-08 18:29:00.173901056
35.47763353999999,1015.591431,1.454956141133856e+18,2016-02-08 18:29:01.133856000
36.43752753999999,1015.585022,1.45495614209375e+18,2016-02-08 18:29:02.093750016
37.39740153999999,1015.585022,1.454956143053624e+18,2016-02-08 18:29:03.053624064
38.35702453999999,1015.5793,1.454956144013247e+18,2016-02-08 18:29:04.013246976
37.84049287329999,1015.578842,1.4549561434967153e+18,2016-02-08 18:29:03.496715264
38.8748548733,1015.586319,1.4549561445310774e+18,2016-02-08 18:29:04.531077376
39.909197873000004,1015.593796,1.4549561455654203e+18,2016-02-08 18:29:05.565420288
40.943569873,1015.598602,1.4549561465997924e+18,2016-02-08 18:29:06.599792384
41.977762873,1015.622406,1.4549561476339853e+18,2016-02-08 18:29:07.633985280
43.011749873,1015.628128,1.4549561486679724e+18,2016-02-08 18:29:08.667972352
43.147248873,1015.635757,1.4549561488034714e+18,2016-02-08 18:29:08.803471360
44.104422873000004,1015.635757,1.4549561497606454e+18,2016-02-08 18:29:09.760645376
45.061646873,1015.635757,1.4549561507178693e+18,2016-02-08 18:29:10.717869312
46.018851873,1015.642319,1.4549561516750743e+18,2016-02-08 18:29:11.675074304
46.976125873,1015.642319,1.4549561526323484e+18,2016-02-08 18:29:12.632348416
47.933331873,1015.628128,1.4549561535895544e+18,2016-02-08 18:29:13.589554432
48.89053387,1015.622864,1.4549561545467564e+18,2016-02-08 18:29:14.546756352
49.84779487,1015.621643,1.4549561555040174e+18,2016-02-08 18:29:15.504017408
50.80489887,1015.621643,1.4549561564611213e+18,2016-02-08 18:29:16.461121280
51.76213787,1015.623016,1.4549561574183603e+18,2016-02-08 18:29:17.418360320
52.71949987000001,1015.623016,1.4549561583757222e+18,2016-02-08 18:29:18.375722240
53.67697787000001,1015.609741,1.4549561593332004e+18,2016-02-08 18:29:19.333200384
53.12424528670001,1015.569,1.4549561587804677e+18,2016-02-08 18:29:18.780467712
54.12453428670001,1015.598297,1.4549561597807567e+18,2016-02-08 18:29:19.780756736
55.12473828700003,1015.627594,1.4549561607809608e+18,2016-02-08 18:29:20.780960768
56.12480428700001,1015.627594,1.4549561617810268e+18,2016-02-08 18:29:21.781026816
