"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686145804237859E9,"2023-06-07 15:50:04.238 UTC+02:00"
"PAUSE",2.854907112499495E1,1.686145832786336E9,"2023-06-07 15:50:32.786 UTC+02:00"
