"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686203673066624E9,"2023-06-08 07:54:33.067 UTC+02:00"
"PAUSE",1.986517866666691E1,1.686203692932012E9,"2023-06-08 07:54:52.932 UTC+02:00"
