"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686154891584022E9,"2023-06-07 18:21:31.584 UTC+02:00"
"PAUSE",3.297343958332203E1,1.686154924557541E9,"2023-06-07 18:22:04.558 UTC+02:00"
