"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.519066250E-1,2.373707199E1,2.988919830E1,-2.603454590E-1
9.619256250E-1,2.344339943E1,3.012760162E1,-4.751586914E-2
9.719446250E-1,2.312086487E1,3.047283936E1,-4.208374023E-2
9.819636250E-1,2.259102249E1,3.095729828E1,6.442260742E-2
9.919826250E-1,2.202440071E1,3.140279388E1,5.127868652E-1
1.002002625E0,2.130386353E1,3.195873260E1,5.423583984E-1
1.012021625E0,2.050325012E1,3.257729340E1,8.469238281E-1
1.022040625E0,1.945459175E1,3.328009033E1,1.271026611E0
1.032059625E0,1.845824051E1,3.386549377E1,1.811645508E0
1.042078625E0,1.717141342E1,3.465032959E1,1.989196777E0
1.052098625E0,1.594317818E1,3.533730316E1,1.752502441E0
1.062117625E0,1.426571274E1,3.612133026E1,1.807769775E0
1.072136625E0,1.249367523E1,3.685460663E1,1.923950195E0
1.082155625E0,1.057374001E1,3.749121857E1,2.082153320E0
1.092174625E0,8.467597961E0,3.816525269E1,2.352447510E0
1.102193625E0,6.138652802E0,3.871926117E1,2.571319580E0
1.112213625E0,3.563362122E0,3.912103271E1,2.899871826E0
1.122232625E0,7.800254822E-1,3.935813904E1,3.072723389E0
1.132251625E0,-2.152774811E0,3.945726776E1,2.882019043E0
1.142270625E0,-5.054134369E0,3.932379150E1,2.099945068E0
1.152289625E0,-7.909893036E0,3.899754333E1,1.371246338E0
1.162309625E0,-1.047039795E1,3.860811615E1,3.080139160E-1
1.172328625E0,-1.236550522E1,3.835303497E1,-2.624511719E-3
1.182347625E0,-1.359252167E1,3.797067261E1,3.964538574E-1
1.192366625E0,-1.416880798E1,3.772705078E1,1.156982422E0
1.202385625E0,-1.425476456E1,3.766069031E1,2.357055664E0
1.212404625E0,-1.416011047E1,3.769710541E1,3.569732666E0
1.222424625E0,-1.381613922E1,3.775375366E1,4.220184326E0
1.232443625E0,-1.335084152E1,3.787512970E1,4.626068115E0
1.242462625E0,-1.264431000E1,3.806085968E1,4.522125244E0
1.252481625E0,-1.172820282E1,3.849141693E1,4.642761230E0
1.262500625E0,-1.060269547E1,3.871741486E1,4.583953857E0
1.272520625E0,-9.287044525E0,3.908570099E1,4.423126221E0
1.282539625E0,-8.235511780E0,3.927946472E1,4.442474365E0
1.292558625E0,-7.279899597E0,3.955640411E1,4.387207031E0
1.302577625E0,-6.519248962E0,3.965248108E1,4.146026611E0
1.312596625E0,-6.269981384E0,3.979560852E1,4.046203613E0
1.322616625E0,-6.284484863E0,3.975009155E1,4.512329102E0
1.332635625E0,-6.404235840E0,3.956220245E1,5.575775146E0
1.342654625E0,-6.755176544E0,3.939529419E1,6.598754883E0
1.352673625E0,-7.123100281E0,3.919340515E1,7.683624268E0
1.362692625E0,-7.533397675E0,3.901810455E1,8.038543701E0
1.372712625E0,-7.932994843E0,3.893903351E1,8.415374756E0
1.382731625E0,-8.433280945E0,3.904216003E1,8.053894043E0
1.392750625E0,-8.834049225E0,3.898762512E1,7.916381836E0
1.402769625E0,-9.585998535E0,3.889785004E1,7.909912109E0
1.412788625E0,-1.019634628E1,3.863579559E1,8.120666504E0
1.422808625E0,-1.110224915E1,3.852856445E1,7.795013428E0
1.432827625E0,-1.206288147E1,3.840011597E1,7.323883057E0
1.442846625E0,-1.292962646E1,3.819974518E1,6.960968018E0
1.452865625E0,-1.360084152E1,3.822920990E1,6.704040527E0
1.462884625E0,-1.415302277E1,3.802913666E1,6.503051758E0
1.472904625E0,-1.434053421E1,3.805725098E1,6.314086914E0
1.482923625E0,-1.434869766E1,3.797614288E1,6.397216797E0
1.492942625E0,-1.413199234E1,3.794541931E1,6.545501709E0
1.502961625E0,-1.394357300E1,3.810977173E1,6.781799316E0
1.512980625E0,-1.350928116E1,3.802014160E1,7.051696777E0
1.523000625E0,-1.303861618E1,3.816173553E1,7.161621094E0
1.533019625E0,-1.240058136E1,3.839984894E1,7.205200195E0
1.543038625E0,-1.152701569E1,3.868633270E1,7.112487793E0
