"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686145729318413E9,"2023-06-07 15:48:49.318 UTC+02:00"
"PAUSE",3.193994374999966E1,1.686145761257696E9,"2023-06-07 15:49:21.258 UTC+02:00"
