"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686203586353334E9,"2023-06-08 07:53:06.353 UTC+02:00"
"PAUSE",2.480529200000092E1,1.686203611158930E9,"2023-06-08 07:53:31.159 UTC+02:00"
