"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686155030630955E9,"2023-06-07 18:23:50.631 UTC+02:00"
"PAUSE",2.922404541667493E1,1.686155059855047E9,"2023-06-07 18:24:19.855 UTC+02:00"
