"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686203781080492E9,"2023-06-08 07:56:21.080 UTC+02:00"
"PAUSE",1.904948345833327E1,1.686203800130203E9,"2023-06-08 07:56:40.130 UTC+02:00"
