"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686154381483704E9,"2023-06-07 18:13:01.484 UTC+02:00"
"PAUSE",2.935956516666920E1,1.686154410843439E9,"2023-06-07 18:13:30.843 UTC+02:00"
