"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.398797989E-2,5.236763539E1,4.870825782E0,-1.169525862E0,-1.000000000E0,-1.000000000E0,1.392416658E1,1.392416658E1
4.485069513E-1,5.236763539E1,4.870825782E0,2.999141693E0,-1.000000000E0,-1.000000000E0,1.392416658E1,1.392416658E1
6.935147047E0,5.236763539E1,4.870825782E0,3.060138464E0,-1.000000000E0,-1.000000000E0,1.392416658E1,1.392416658E1
1.340306497E1,5.236763539E1,4.870825782E0,2.888398767E0,-1.000000000E0,-1.000000000E0,1.392416658E1,1.392416658E1
1.986951494E1,5.236763539E1,4.870825782E0,2.803997159E0,-1.000000000E0,-1.000000000E0,1.392416658E1,1.392416658E1
2.633257902E1,5.236763539E1,4.870825782E0,2.855897665E0,-1.000000000E0,-1.000000000E0,1.392416658E1,1.392416658E1
