,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,linacc_phone_x,linacc_phone_y,linacc_phone_z,mag_phone_x,mag_phone_y,mag_phone_z,labelswitch,labelsquad,labellunge,labeljumpingjack,labellegraise,labelcrunch,labelpushup,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7
2016-02-08 18:28:25.660764416,2.2079763717278236,1.2265690120790351,9.983649195181389,-0.13469475148051063,0.13541300279439375,0.44058263784824575,0.3187487131211113,0.0898817022449779,0.5071827737207029,6.025253938606856,8.109089654242528,-35.27914106347519,1,0,0,0,0,0,0,0.6712254181206133,0.12663092309935675,-0.19717910012735096,-0.011193155937299047,0.07750254473728325,-0.008896247420719065,0.04122370303535728
2016-02-08 18:28:25.760764416,1.4741748040302882,0.12267345752331225,8.730126662849225,-0.1225597467061944,0.5563435547318781,0.97511152111,0.03724938997694483,-0.2504158285666176,-1.1593281775654458,9.267873684671283,9.572922240854247,-35.658691354833735,1,0,0,0,0,0,0,0.6014839613222,0.14687122039818878,-0.22665885089113597,-0.03857003822750051,0.06462754010193755,0.08998086379047895,-0.11204532901497004
2016-02-08 18:28:25.860764416,0.12050337406969253,-1.0960518722363393,8.066371136219278,0.021547469136405668,1.1098206126425674,0.9940112773882641,-0.3793897568567481,-0.7367186639948801,-1.959098411793823,13.121013123339555,11.068593714159679,-33.871456342204525,1,0,0,0,0,0,0,0.5118193156895605,0.17498805653474275,-0.25617008265802876,-0.019787879525583838,0.02432999456243927,0.1441030341872949,-0.14844168885797274
2016-02-08 18:28:25.960764416,-2.124353656063786,-2.271748356649052,8.09479446675109,0.3772845887208759,1.8160255616006378,0.3530943501134852,-0.9718086215802049,-1.2449954115714743,-1.5542450255891005,17.60700574972716,12.761376804142449,-28.883157080646875,1,0,0,0,0,0,0,0.39219924442679305,0.214995233092139,-0.27847184410729886,0.06862391282334669,-0.052833518807742556,0.14500944639220142,-0.027742552403114608
2016-02-08 18:28:26.060764416,-5.018264263127412,-2.9740793244037054,8.312574109931631,0.9254388591991821,2.5425025488790514,-0.6182498251987522,-1.633022681692485,-1.3878956345335363,-0.3147791701313095,22.05258955406443,14.89303574499163,-21.31070811934808,1,0,0,0,0,0,0,0.24798663022117326,0.2651609572631407,-0.27980361691860905,0.21332911386995165,-0.15088885719706963,0.12627064938574764,0.18891938219990909
2016-02-08 18:28:26.160764416,-7.907597931554663,-2.806207280939806,7.958117452627107,1.5298825766175879,3.0611341144190463,-1.3572069009462215,-2.1283312080080337,-0.8239516248217951,0.9633710380249639,25.534933030354416,17.53882001593236,-13.055138949847423,1,0,0,0,0,0,0,0.09858248963088422,0.31867141561983964,-0.24931070260349342,0.36594645606989246,-0.236292060827252,0.13319568664930345,0.38215897042976565
2016-02-08 18:28:26.260764416,-10.04917495434841,-1.7795493314211017,6.560894608997349,1.971636014263052,3.1695889773958865,-1.4677099650351033,-2.2037402107135553,0.38140370742044083,1.5874615352179127,27.505213630233534,20.39072483913326,-6.264434615293672,1,0,0,0,0,0,0,-0.03091964004666691,0.3661164252764806,-0.18951089529458684,0.4630277774716385,-0.27593332976033164,0.18124005765962345,0.45289959929258383
2016-02-08 18:28:26.360764416,-10.982519585226045,-0.4379747517850655,4.284811134006533,2.0398073530202843,2.8060139936529915,-0.9862420528799765,-1.7418222756461945,1.6676128022220766,1.3745251763472042,28.087602898837222,22.81029548014448,-2.213991422741922,1,0,0,0,0,0,0,-0.12162884980159883,0.3983770197975277,-0.11835611179206429,0.45720517118374737,-0.25463322729706034,0.23812755820702408,0.3814822201119045
2016-02-08 18:28:26.460764416,-10.74972287954691,0.4066666170556582,1.816813757524498,1.6452561903509655,2.09164155816273,-0.32770476479861593,-0.8711806162833406,2.285546395579401,0.6767652045091217,27.848085831246127,24.199474184134598,-0.728591599589957,1,0,0,0,0,0,0,-0.17037792906308455,0.40887786748250377,-0.059857053900430786,0.343784518862706,-0.18255306177829284,0.24628189602491637,0.22964963255771706
2016-02-08 18:28:26.560764416,-9.843778928358095,0.16447950233362577,-0.10301091413047295,0.8929329933752423,1.2791727868339495,0.030441326056894095,0.05952539154611225,1.8032373562443362,0.05363662851780715,27.27263067641517,24.46544961023913,-0.4446816986445457,1,0,0,0,0,0,0,-0.19140928513888444,0.3949232000158664,-0.029582278773417025,0.16664293628257063,-0.08952426945250773,0.1693672155062384,0.09031453733908867
