,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,linacc_phone_x,linacc_phone_y,linacc_phone_z,mag_phone_x,mag_phone_y,mag_phone_z,labelswitch,labelsquad,labellunge,labeljumpingjack,labellegraise,labelcrunch,labelpushup,simple_dist_outlier
2016-02-08 18:28:25.660764416,2.2054237977999995,1.22607037345,9.982142028599998,-0.13557979711222226,0.1361342420111111,0.4413046745888889,0.31681793151111104,0.08929744304077779,0.5056233555204445,6.027351379333331,8.109271579222222,-35.27797783888889,1,0,0,0,0,0,0,False
2016-02-08 18:28:25.760764416,1.3154195709699998,1.97795681762,9.0986193239,0.024084378739999975,1.2943505287,-0.022386306906000027,-0.169376631965,0.6104195154200001,-0.49339869874700004,7.725336647000001,6.9543006897,-35.35729675299999,1,0,0,0,0,0,0,False
2016-02-08 18:28:25.860764416,-0.20785775748999996,-1.93435249337,8.2641196747,-3.42724363201,0.898016641571,0.8547832004549999,-0.3814406938,-1.3327231447400003,-1.4614202189399998,12.121682547999999,12.4860046391,-32.067355346999996,1,0,0,0,0,0,0,False
2016-02-08 18:28:25.960764416,-4.0347995910000005,-0.3450175324030001,7.8552000273,0.07915849079,0.7481884640248001,1.15597686182,-3.2385833292900004,1.4288339636300005,-1.7534846060700002,16.250747488,15.661283874,-28.603414918000013,1,0,0,0,0,0,0,False
2016-02-08 18:28:26.060764416,-2.7269243317000003,-4.484494445699998,6.443276138200001,1.21682702312,3.5822705445999996,0.57445079603,0.03715600037500003,-2.63365998479,-2.7092079699299996,22.189165878,14.345355987000001,-24.261404419,1,0,0,0,0,0,0,False
2016-02-08 18:28:26.160764416,-6.3414878083,-3.9294486695999997,9.0196884613,1.9554361700999998,4.7647668361,-2.5047791719999997,0.13492084664999998,-3.1456123591500003,1.810425669166,29.749495507000013,13.236716460999999,-14.074398803900001,1,0,0,0,0,0,0,False
2016-02-08 18:28:26.260764416,-10.696336853400002,-2.6431585236000004,8.3598306422,1.16409931186,2.8178128004,-2.624404645,-2.2634858304,-0.6273219373100001,3.8431145597,29.067234611999996,20.282669068,-3.50185546875,1,0,0,0,0,0,0,False
2016-02-08 18:28:26.360764416,-14.502052826,1.58400604254,5.2148706206,3.3598478079,2.5305462481,-0.8549043805029999,-5.5508591749999985,4.5490639911100015,2.5374954190300003,24.662621496999996,26.216360473,-0.52262268065,1,0,0,0,0,0,0,False
2016-02-08 18:28:26.460764416,-9.0225774542,1.6238382111,-1.04436323552,2.4630916954,2.4323496998000005,0.5769822984999999,0.3634435122199999,3.8143765472,-2.7733578750900003,25.076792908,25.629756165,-3.1951202392,1,0,0,0,0,0,0,False
2016-02-08 18:28:26.560764416,-9.3046059717,-0.73549552915,-1.0628048857,0.26491825952400005,1.2785884557900002,0.6998356938500001,0.3868905545599999,0.6475784537200001,-0.56948355684,27.390310669,23.213552856,-0.5149444580899999,1,0,0,0,0,0,0,False
2016-02-08 18:28:26.660764416,-8.551701645,-2.5653952331400003,0.10907817082999999,1.4337949038199995,0.7194234966399999,0.19654096366,1.14528296157,-1.8229599140439998,1.3525655651200004,29.114653396999998,21.089328002000002,1.1910430909499998,1,0,0,0,0,0,0,False
2016-02-08 18:28:26.760764416,-5.4877232208,-2.84486407464,-1.07073838797,-1.590707443271,-0.33104156366099996,-2.5990379808999995,3.9101215167800007,-0.53397599259,0.3760832482700001,26.006999589,25.022347259,0.905288696295,1,0,0,0,0,0,0,False
2016-02-08 18:28:26.860764416,-14.685211944,-3.4634227752600006,0.22589524845500006,-1.3451889633499998,1.13711426849,-0.7093398247320001,-5.7415468175000015,0.1567742011500001,1.90791623735,21.107477761,29.494228364,5.2791168213000015,1,0,0,0,0,0,0,False
2016-02-08 18:28:26.960764416,-6.933446822799999,-6.0065293579,-5.73917033366,-0.490717200617,0.59922327982,0.0184543416,1.6973566567079998,-2.4541219006009998,-2.740607927250001,19.527057648000003,29.535168458,10.9335754395,1,0,0,0,0,0,0,False
2016-02-08 18:28:27.060764416,-6.8392028046,-5.697975998,-1.13782887276,1.81626673342,0.7367303848799996,-3.35258615616,0.63974123321,-0.9893836206630002,2.9688838111340004,14.840630340799999,31.787364960999998,12.60986328,1,0,0,0,0,0,0,False
2016-02-08 18:28:27.160764416,-8.3646955252,-4.6558431245000005,-3.7407360993000003,1.3463059626190002,-0.410543735143,-1.98241675502,-3.3614241499899995,3.3498703151,-1.2165433441929998,1.0673637390200001,37.54169464100001,4.981457519299999,1,0,0,0,0,0,0,False
2016-02-08 18:28:27.260764416,-6.3929507904,-10.1510807181,-4.853537017999999,-1.216004373168,1.7267126263400001,0.89400691535,-0.97083145798,-2.74627803082,-1.47085475999,2.2851814270599995,37.277285766999995,7.0159515381,1,0,0,0,0,0,0,False
2016-02-08 18:28:27.360764416,-3.20699102783,-4.2382415314,-0.35348991387300005,1.6554198505000002,0.23009914472,-2.3708203792,0.7594587345800001,3.95168381809,3.2108556573,-2.05533447267,37.42569046,6.3576660157000005,1,0,0,0,0,0,0,False
2016-02-08 18:28:27.460764416,-2.85086659235,-7.6551260837,-3.1553783563499995,2.2976197004,0.30464661133000004,-3.601260817,-0.7698326452500001,1.7002950579,-1.409913726385,-10.0971916198,36.849309541,0.9389648439100003,1,0,0,0,0,0,0,False
2016-02-08 18:28:27.560764416,2.93949728385,-13.831716797799995,1.196641571094,-1.1087862738790002,-2.5367453277700003,-4.538025048380001,-0.29510442773999995,-4.7622269564,2.1586088402400003,-26.560836409,27.15381393400001,-4.61589965827,0,1,0,0,0,0,0,False
2016-02-08 18:28:27.660764416,4.2977727356000015,-8.290599608499999,-1.53206405638,1.51828386187,0.34697199763000003,1.4583326571810002,0.9174644178899999,0.7171645664799999,0.2718640406,-29.575061799,25.242573546,1.6334899902700002,0,1,0,0,0,0,0,False
2016-02-08 18:28:27.760764416,3.7841607972,-9.583790404999998,-2.0488194584530004,-0.28925935335,1.2853067337600002,-0.02889439241199998,0.7439004338140001,-0.27577205639600005,-1.4898054104600005,-28.028232574000004,26.823831940999998,-3.4197021485000003,0,1,0,0,0,0,0,False
2016-02-08 18:28:27.860764416,2.8051965637,-10.258781753500001,-2.022743682898001,-0.14268251742299998,-1.6147362241310002,0.234738149871,-0.16144419689799994,-0.9695762362660002,-0.97097655663,-27.668840790999997,27.121022795,-3.13381042486,0,1,0,0,0,0,0,False
