,acc_phone_x,acc_phone_y,acc_phone_z,bar_phone_x,gyr_phone_x,gyr_phone_y,gyr_phone_z,linacc_phone_x,linacc_phone_y,linacc_phone_z,loc_phone_latitude,loc_phone_longitude,loc_phone_h,loc_phone_vel,loc_phone_dir,loc_phone_hor_acc,loc_phone_ver_acc,mag_phone_x,mag_phone_y,mag_phone_z,dist_phone_dis,labelswitch,labelsquad,labellunge,labeljumpingjack,labellegraise,labelcrunch,labelpushup
2016-02-08 18:28:25.658190336,-3.3300841450909084,3.8946419593636366,8.64072697081818,,-1.0193011880399998,-1.27140328892,-1.3789749743000002,-0.42444593434,1.7770452892599995,0.20098540806000004,52.36612664,4.879448065,5.8118216989999985,-1.0,-1.0,10.77028042,10.77028042,-1.60308589922,-12.662903978,-51.187782288,5.0,1,0,0,0,0,0,0
2016-02-08 18:28:25.758190336,-2.06293510435,2.2500010986000003,10.35504657,,-2.7047080875200002,-0.5824594095000001,0.2396501862199999,0.30829348048000005,1.5998403315599998,1.2225511098,,,,,,,,-4.0697244646,-7.529402161199999,-51.651087188999995,,1,0,0,0,0,0,0
2016-02-08 18:28:25.858190336,-0.940494232174,-0.30452673339,10.4394560391,,-0.8137652948299999,-1.2736595168,1.3339271665299999,0.24227223972000006,1.6374051986899998,0.7190850845599999,,,,,,,,-8.530420589399997,6.95231914427,-52.495531463999995,,1,0,0,0,0,0,0
2016-02-08 18:28:25.958190336,-1.0429860993299995,-1.3925541687399998,10.422466369800002,,2.62541788824,-2.5034955382,0.10209525554399992,-1.59823497137,-2.15371782711,0.5305827218020001,,,,,,,,-14.432833957999998,7.9259231557000005,-50.746735382,,1,0,0,0,0,0,0
2016-02-08 18:28:26.058190336,1.02484382621,-0.5854924621724,9.3963352203,1015.606689,0.494397871263,-0.6380930818780001,0.63445002473,-0.505822628601,-1.3898425662999998,-0.1543381341801,,,,,,,,-22.714874651,-1.7977298735999998,-48.401083756999995,,1,0,0,0,0,0,0
2016-02-08 18:28:26.158190336,2.0868703307430003,-4.597644149900001,7.9098364106,,1.26407839049,-2.607277286,2.0466579556099997,-1.03862948508,-6.1166315223000005,-0.4026859305521,52.36612664,4.879448065,5.450134277,-1.0,-1.0,10.77028042,10.77028042,-26.869127274,-2.9898571012,-44.034881592,,1,0,0,0,0,0,0
2016-02-08 18:28:26.258190336,3.60040292362,-3.1292277373600004,5.3060460202,,0.7638907540100001,,,-4.563766902299999,-5.364546273,-1.8556093849899995,,,,,,,,-38.806152344000004,1.38114280695,-30.582538985,,1,0,0,0,0,0,0
2016-02-08 18:28:26.358190336,11.4449451135,5.35873645,7.385027756056,,1.532204870032,-2.76898539054,3.2280294060999983,2.368790442077,6.8138863488,5.095400164390001,,,,,,,,-44.373199461000006,21.570814514000002,-14.2862215041,,1,0,0,0,0,0,0
2016-02-08 18:28:26.458190336,10.735345734400001,0.23538551338999994,-0.5712570647999999,,0.94229891822,-2.6992995739000003,1.3609191000699998,1.3208295901900002,5.05989069605,-1.92988484058,,,,,,,,-39.45722809000001,33.151693343000005,-4.825484180620999,0.0,1,0,0,0,0,0,0
2016-02-08 18:28:26.558190336,11.7361645193,-6.104605407539999,-1.2989238739000002,,-2.4668059436200003,1.62702848916,1.3890484929700002,3.8407462326,-0.7705478037000001,-3.926724992400001,,,,,,,,-35.333689119,37.782729339,2.4154930115,,1,0,0,0,0,0,0
