,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,linacc_phone_x,linacc_phone_y,linacc_phone_z,mag_phone_x,mag_phone_y,mag_phone_z,labelswitch,labelsquad,labellunge,labeljumpingjack,labellegraise,labelcrunch,labelpushup,simple_dist_outlier
2016-02-08 18:28:25.658355968,-3.8419855499,4.2862766417000016,5.427189102200001,-1.6828275191222224,-2.7135326994444444,0.18668983711666667,0.6631626453835555,-0.10028751222666668,-2.2464289826666666,26.47618950666667,-2.9544891451222224,-36.66999477777778,1,0,0,0,0,0,0,False
2016-02-08 18:28:25.758355968,-0.7598648529200001,1.5050003357799997,8.721568405000001,-2.678255844,0.03005007789999999,0.4157287210290001,1.82920691123,-1.17061511733,-0.2659716551299999,18.050704956,5.694843864409998,-40.966659547000006,1,0,0,0,0,0,0,False
2016-02-08 18:28:25.858355968,-1.4673087158389997,-2.18975138853,14.632356857000001,0.10886991618000008,0.6193749010799999,-0.7047809888743001,1.2471582689299998,-2.89997539794,5.580921698899998,19.25154724,13.411220455999999,-38.537536622,1,0,0,0,0,0,0,False
2016-02-08 18:28:25.958355968,-3.8670284727999995,2.510848663428,5.3447704927999995,1.3382761448200002,3.08019091481,-0.21381632984,1.65189546128,0.50482005048,-2.9495987591,29.504676055,8.781424427100001,-32.77209777900001,1,0,0,0,0,0,0,False
2016-02-08 18:28:26.058355968,-3.05504200758,-1.54968241871,6.5815735474000014,-2.8337105989,0.7308586366500001,-1.361044026436,3.111845778,-2.5116081728100004,-0.6641582702999996,32.374657441,13.4464810371,-28.399082946999997,1,0,0,0,0,0,0,False
2016-02-08 18:28:26.158355968,-10.933518630899998,-4.2770707854,4.458104324400002,-3.3312899114,-0.488084501189,-0.371985730892,-4.4675261769,-2.13463160156,-2.37710050504,30.650222779,25.58346672,-20.134807585,1,0,0,0,0,0,0,False
2016-02-08 18:28:26.258355968,-11.816741958900002,-3.5803446351,6.1325822297000006,-4.5433121204,1.48806537995,1.49767424463,-4.578307582999999,0.742004766657,0.9210192032743799,31.804940031999998,29.957445335,-7.224929809560001,1,0,0,0,0,0,0,False
2016-02-08 18:28:26.358355968,-6.527580825799999,-1.1047776032099998,6.8872828213,-2.57299134743,0.80632619554,1.39471727025,1.9090218288299998,3.4811254547000003,4.5231700351,36.634196470999996,24.469744491,9.0230262765,1,0,0,0,0,0,0,False
2016-02-08 18:28:26.458355968,-9.7975908049,-4.70318966683,0.70159103384,-1.3518467753299999,0.15556423662000002,0.40319116414000006,-1.0720293362899995,-0.8537430990059999,-1.0042648430899996,39.110619355,19.380496407,13.823235322,1,0,0,0,0,0,0,False
2016-02-08 18:28:26.558355968,-13.249143265199999,-5.962610687200001,0.20826191717000012,-0.632947078369,1.5720282912,-0.28007063825600004,-3.7830956098399993,-1.3788634105170003,-0.10841551321000006,37.572396088000005,18.106400488,19.611904908000003,1,0,0,0,0,0,0,False
2016-02-08 18:28:26.658355968,-3.751723251049,-0.7982749786899999,-1.5838713224999998,0.06530491542000001,-0.3198191731699999,-0.025823425317999974,4.21260254299,3.58245346268,-0.8460674294699999,35.582535553,18.341496658,23.336533356,1,0,0,0,0,0,0,False
2016-02-08 18:28:26.758355968,-7.017781448099999,-3.8086349031999998,0.8463100892000004,0.70880580994,0.11270927942000003,-1.98622392107,1.6654972253100002,0.5413107836900004,0.5186004328729998,35.422208403,20.30856285,21.67262268,1,0,0,0,0,0,0,False
2016-02-08 18:28:26.858355968,-7.6690022273,-12.147943221399998,-0.7268285524000001,-1.0637397259999999,0.434793470218,-2.1573061839200003,-1.1771698749,-5.13735191873,0.38006955088100014,27.307842256000004,28.989147567,22.867085264,1,0,0,0,0,0,0,False
2016-02-08 18:28:26.958355968,-6.9866312254,-7.8895685578,0.1599573672800001,2.1754476190000003,-0.34767770771999995,0.30406197307000016,0.044694654740000034,-0.194957338011,-0.2370353638000003,25.519688415999997,31.018252183,22.352282715,1,0,0,0,0,0,0,False
2016-02-08 18:28:27.058355968,-3.83372273263,-7.446385162919999,1.0109527124700006,-0.21643934917699995,-2.2668650538099997,-3.11753577601,1.01370686848,0.3178209629000001,0.14889143779999955,20.002319336,37.794790651,15.020417785,1,0,0,0,0,0,0,False
2016-02-08 18:28:27.158355968,-3.176514404216,-8.4258733062,3.5895355221500003,0.54086471467919,0.22752106484000004,-0.10885099693499999,0.4905674182050001,0.6066052376509999,1.796986399807,15.850155640999994,40.283798221,13.483287810000002,1,0,0,0,0,0,0,False
2016-02-08 18:28:27.258355968,-3.9536683046000007,-8.0988184207,1.7377662963799998,0.10424028187999997,0.6796126789950001,0.26912582255299994,-0.07229193366400008,1.1904993632600005,-0.294383816954,15.062476347999999,40.759720611,13.086554717000002,1,0,0,0,0,0,0,False
2016-02-08 18:28:27.358355968,-2.34643057269,-1.7179175723899998,-1.6171171875299999,-1.8361504375,-3.0065975368199997,-1.5600702776700002,1.27044506859,6.964759422819999,-3.22476027758,15.88553543,39.815041733,15.232820130000002,1,0,0,0,0,0,0,False
2016-02-08 18:28:27.458355968,1.41592057801,-21.3532157589,4.26097924752,0.07734232766,-1.672608219487,-1.0793125137859998,2.2886577431,-11.5005502051,3.1774705483,9.6137626649,41.887377167,14.949475097999999,1,0,0,0,0,0,0,False
2016-02-08 18:28:27.558355968,-1.8014588470600004,-6.614759536700001,0.432061523447,0.0719428472699,-0.327871899309,0.25588507131099997,-0.9956174763400001,2.81932045462,-1.0269400092299998,11.11189041,41.75192565900001,13.867759706,1,0,0,0,0,0,0,False
2016-02-08 18:28:27.658355968,-1.30069020086,-10.0917141725,0.5121599578939999,0.1393666704139,-0.57514777779,0.17276650143699998,-0.14413955229300005,-0.3993496263199999,-1.00332440625,12.597236633,41.50430183300001,13.287859346,1,0,0,0,0,0,0,False
2016-02-08 18:28:27.758355968,-0.5223387908899999,-9.338106308,-0.91844508358,0.7300636529699999,-0.5683807671000001,-0.25123661123200003,0.4877972415099999,0.292667644469,-2.9686714401,13.045050047999997,41.867190552,10.6821731566,1,0,0,0,0,0,0,False
2016-02-08 18:28:27.858355968,-0.6608158264199999,-5.9146803589,0.5408552855600001,0.8974909783300001,-0.94712174531,-0.33185883463000004,-0.159102379755,3.5589900187,-2.0880441887220003,11.666405487999999,42.627445221,5.770484161299999,1,0,0,0,0,0,0,False
2016-02-08 18:28:27.958355968,2.42841508487,-7.489540420599999,4.5421246033,1.6176762998500005,-0.34104783405210004,-1.3790646731999998,2.0894729777000003,1.2153955797699996,0.8275867491399999,8.336602020299999,43.301351928,0.44636230461,0,1,0,0,0,0,0,False
2016-02-08 18:28:28.058355968,0.4280798034900001,-6.877747649500001,5.8354351496,2.0348711014,0.09890573321999988,-1.2122252702999998,-1.0283858648900002,1.20279839681,0.08943684707000002,1.5047630312099998,42.896031952,-8.992556762800001,0,1,0,0,0,0,0,False
2016-02-08 18:28:28.158355968,3.4090708008,-6.009328536900001,8.274059006,1.58852005,-0.63866315262,-1.3240375519999996,0.5399229617800001,0.479932736492,1.4303213931299998,-5.1915367128,40.141358183,-16.860974122000002,0,1,0,0,0,0,0,False
2016-02-08 18:28:28.258355968,3.4837954102,-4.693429962200001,8.3508493194,1.5077566862,-0.94419695735,-1.17322067039,-0.5705054052440001,0.294182891966,1.09344640079,-12.316465376500002,36.17995224000001,-22.04367981,0,1,0,0,0,0,0,False
2016-02-08 18:28:28.358355968,4.9457752075000005,-3.5658547668000002,9.1620274658,1.4873062133,-0.7110058903300001,-0.6441159904099999,-0.10606021815400002,-0.099824045698,1.5213358190200001,-17.986987305000003,31.101914405,-26.663844300000004,0,1,0,0,0,0,0,False
2016-02-08 18:28:28.458355968,7.365747848400001,-2.8532017366000004,10.121607009200002,0.8703623473600001,-0.4337020054300001,-0.2873734321364,1.6973427990199998,-0.6893951307780001,2.5531591741999997,-21.04454956,26.676519965999994,-29.595834351999997,0,1,0,0,0,0,0,False
2016-02-08 18:28:28.558355968,8.345041397000001,-2.9916188965999995,10.453945907,-0.32234295067994,0.143027190019,0.4217853963400001,2.5387655515,-1.01556274552,2.7705246799000003,-21.552523804,25.665159223000003,-30.43261260800001,0,1,0,0,0,0,0,False
2016-02-08 18:28:28.658355968,7.1122949065,-4.257835784899998,10.189655502599999,-1.2312830091599998,0.71470504104,0.9703751684099998,1.7057738407299998,-1.2802309102300002,2.5280966631000004,-18.59065361,29.191709519,-28.79609375,0,1,0,0,0,0,0,False
2016-02-08 18:28:28.758355968,4.4526257171,-4.599784698500001,8.640407180999999,-1.9366133452,1.20060914745,1.3062625527,0.30746952010699996,0.17026200279150003,1.024222501209,-11.6104339603,35.205762101,-24.115557861,0,1,0,0,0,0,0,False
2016-02-08 18:28:28.858355968,1.8126106566999998,-5.6816748964000015,6.059279663300001,-2.1536761046,0.41787813604,1.2645852803,-0.94302224653,1.00547860811,-0.5740358955899999,-4.1363800049,40.316964722,-16.190938567,0,1,0,0,0,0,0,False
2016-02-08 18:28:28.958355968,1.8759589232,-5.9556202241,4.7983168485,-1.8901573778,0.48104075193999996,1.0417619110099998,0.30559109479200003,2.2069070606,-0.35530661460999996,1.78005371091,42.944404604,-7.208847809500003,0,1,0,0,0,0,0,False
2016-02-08 18:28:29.058355968,0.909613449105,-7.417974243299999,4.9789761659,-1.1433080494299999,0.61951913536,0.5956244886100001,0.14026829708000008,1.4627736153300002,1.0268494212700001,6.0398765564999986,43.37342720000001,-0.11177520750999996,0,1,0,0,0,0,0,False
2016-02-08 18:28:29.158355968,-0.235175949004,-8.097456252899999,2.9020152283,-0.9004235148599999,0.47965231537,0.70856024921,-0.001729374349999957,1.2695746520999998,-0.11480657099750002,9.2883918748,42.773965454,4.8264343262,0,1,0,0,0,0,0,False
2016-02-08 18:28:29.258355968,0.16381933595,-8.615888168199996,2.07902664187,-0.487826854,0.5684038013199999,0.28634614349000004,0.8077802051199999,0.87271354233,-0.3396287968999999,11.563715362,42.089234543,8.615763091999996,0,1,0,0,0,0,0,False
2016-02-08 18:28:29.358355968,-1.26915078735,-9.0419322053,1.4361584929600002,-0.40269662141,0.4773933410500001,0.30510716885,-0.13576851021299996,0.5239318063399999,-0.39816932201,12.662530517,41.459103775,11.50573349,0,1,0,0,0,0,0,False
2016-02-08 18:28:29.458355968,-1.27516827407,-9.1947344512,1.3699661407399997,-0.25427149311200004,0.23375235738201994,0.07803379632099999,0.012910535250000013,0.379390681912,-0.11346866961400005,13.116672513,40.94295654399999,13.438865662999998,0,1,0,0,0,0,0,False
2016-02-08 18:28:29.558355968,-0.526410324049,-9.8849940492,1.47178440857,0.313975489504,0.538021622232,-0.047417751875,0.948127436067,-0.29706820052999994,0.05229762846000001,13.191989898,40.979887008,14.008572388,0,1,0,0,0,0,0,False
2016-02-08 18:28:29.658355968,-2.68791545103,-9.7415772852,-1.1273057555597998,0.173062125588,-0.09229626657000004,0.105127990987,-1.17426190859,-0.220034174868,-2.8321606477999994,12.659781647,41.491982651,13.529997253,0,1,0,0,0,0,0,False
2016-02-08 18:28:29.758355968,-1.5399975584099999,-9.891325881800002,0.04156855774,0.18603889197999998,-0.41334905327,0.074737604608,-0.0175365452641,-0.35537710278300005,-1.7908883676999998,13.512194824000002,41.404961777,12.329273222000001,0,1,0,0,0,0,0,False
2016-02-08 18:28:29.858355968,-1.1399694214299998,-9.1432265626,1.37436698916,0.43191632329,-0.5055845588500001,-0.07084304727799999,0.28546805558300004,0.32482312059999996,-0.85354587234,13.773950958,41.640787124,10.424591065700001,0,1,0,0,0,0,0,False
2016-02-08 18:28:29.958355968,-0.7969876556100001,-7.833360443000001,1.4042149201699998,0.4587887376500001,-1.1028480767599995,-0.243151913585,0.355393153394,1.54389765153,-1.32355301874,13.278694916,42.001817321,7.419153595,0,1,0,0,0,0,0,False
2016-02-08 18:28:30.058355968,-0.059650955189999987,-7.2861583557,2.9073291780000003,0.5468469530300001,-1.37433133719,-0.4303182751,0.4180243393673999,1.98268885232,-0.20948059373,11.75796585,42.315404509000004,3.2633766173000005,0,1,0,0,0,0,0,False
2016-02-08 18:28:30.158355968,1.9344872131400002,-7.463524520999999,6.406632339400001,2.1150530341,-0.10058185583824003,-1.35094763035,1.2154157233200005,1.20393187939,1.8721593733400002,7.674240112300001,42.800001906999995,-2.91523666393,0,1,0,0,0,0,0,False
