"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686203709950115E9,"2023-06-08 07:55:09.950 UTC+02:00"
"PAUSE",2.464422033333176E1,1.686203734594745E9,"2023-06-08 07:55:34.595 UTC+02:00"
