"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.441782917E-1,-2.160022354E1,-3.136718750E1,3.567850876E1
9.541732917E-1,-2.113940239E1,-3.157963562E1,3.579652405E1
9.641692917E-1,-1.990861893E1,-3.259949875E1,3.577856445E1
9.741642917E-1,-1.888158989E1,-3.385269165E1,3.513089371E1
9.841602917E-1,-1.798352051E1,-3.537129211E1,3.402001572E1
9.941552917E-1,-1.736908531E1,-3.686073685E1,3.260741425E1
1.004150292E0,-1.673369408E1,-3.827631378E1,3.121625137E1
1.014146292E0,-1.567518806E1,-3.965727997E1,2.996275330E1
1.024141292E0,-1.413396835E1,-4.085826492E1,2.913134384E1
1.034137292E0,-1.211649132E1,-4.167469788E1,2.891403580E1
1.044132292E0,-9.957562447E0,-4.222612000E1,2.914050865E1
1.054127292E0,-8.184170723E0,-4.274504471E1,2.913459015E1
1.064123292E0,-7.161067963E0,-4.339755630E1,2.849505234E1
1.074118292E0,-6.846086502E0,-4.411871719E1,2.746829987E1
1.084113292E0,-6.850687981E0,-4.474152756E1,2.630213928E1
1.094109292E0,-7.078766823E0,-4.518772125E1,2.529305649E1
1.104104292E0,-7.344894409E0,-4.559494781E1,2.433151627E1
1.114100292E0,-7.836241722E0,-4.591809082E1,2.332587814E1
1.124095292E0,-8.673746109E0,-4.633491516E1,2.221862984E1
1.134090292E0,-9.855806351E0,-4.674979019E1,2.076465225E1
1.144086292E0,-1.146004868E1,-4.704675674E1,1.893530655E1
1.154081292E0,-1.338438416E1,-4.716539001E1,1.695626831E1
1.164077292E0,-1.547515297E1,-4.707062912E1,1.504341793E1
1.174072292E0,-1.756926727E1,-4.679553986E1,1.319425678E1
1.184067292E0,-1.929314423E1,-4.639858246E1,1.146074677E1
1.194063292E0,-2.064133644E1,-4.605876160E1,1.036119747E1
1.204058292E0,-2.173130989E1,-4.553139877E1,9.970751762E0
1.214054292E0,-2.274863243E1,-4.474574280E1,1.024991798E1
1.224049292E0,-2.365457535E1,-4.390206909E1,1.132326126E1
1.234044292E0,-2.447741699E1,-4.304911423E1,1.275149822E1
1.244040292E0,-2.518514061E1,-4.218920898E1,1.438930130E1
1.254035292E0,-2.585557175E1,-4.121388626E1,1.592594433E1
1.264031292E0,-2.641413116E1,-4.049369049E1,1.750789642E1
1.274026292E0,-2.706666946E1,-3.976020813E1,1.877709579E1
1.284021292E0,-2.797729683E1,-3.878773499E1,1.919685364E1
1.294017292E0,-2.891896057E1,-3.780555725E1,1.921467018E1
1.304012292E0,-2.971933937E1,-3.690844727E1,1.929724503E1
1.314008292E0,-3.021342087E1,-3.628736115E1,1.948372269E1
1.324003292E0,-3.060290146E1,-3.582978821E1,1.936808777E1
1.333998292E0,-3.094410324E1,-3.549352264E1,1.892004395E1
1.343994292E0,-3.132515717E1,-3.538909531E1,1.822052765E1
1.353989292E0,-3.176334763E1,-3.542187881E1,1.717806816E1
1.363985292E0,-3.224712372E1,-3.557109833E1,1.602945900E1
1.373980292E0,-3.265352631E1,-3.572122955E1,1.474333191E1
1.383975292E0,-3.307235336E1,-3.581624985E1,1.336819172E1
1.393971292E0,-3.360010910E1,-3.572652435E1,1.196501064E1
1.403966292E0,-3.427127838E1,-3.542321777E1,1.088387108E1
1.413962292E0,-3.508557129E1,-3.482191086E1,1.029554081E1
1.423957292E0,-3.589087296E1,-3.392274094E1,1.028033066E1
1.433952292E0,-3.651245499E1,-3.311935806E1,1.061862183E1
1.443948292E0,-3.691411209E1,-3.247496414E1,1.115465355E1
1.453943292E0,-3.706307602E1,-3.213892365E1,1.153420067E1
1.463938292E0,-3.720858765E1,-3.203227997E1,1.147858143E1
1.473934292E0,-3.736877441E1,-3.199021530E1,1.094503975E1
1.483929292E0,-3.763718414E1,-3.197365761E1,1.007968616E1
1.493925292E0,-3.784487534E1,-3.199734879E1,8.998619080E0
1.503920292E0,-3.805092621E1,-3.200284958E1,7.973855019E0
1.513916292E0,-3.833873749E1,-3.184411240E1,7.362457275E0
1.523911292E0,-3.856922913E1,-3.150018501E1,7.303218365E0
1.533906292E0,-3.890988159E1,-3.094281387E1,7.707573891E0
1.543902292E0,-3.930940247E1,-3.020415878E1,8.360301971E0
1.553897458E0,-3.996258926E1,-2.920683289E1,8.784894943E0
1.563893458E0,-4.084247971E1,-2.789451218E1,8.810496330E0
1.573888458E0,-4.193203735E1,-2.641440582E1,8.243830681E0
1.583883458E0,-4.315673065E1,-2.470142937E1,7.278076649E0
1.593879458E0,-4.442028046E1,-2.259444809E1,6.330712318E0
1.603874458E0,-4.564060211E1,-2.020066071E1,5.606465340E0
1.613869458E0,-4.679341888E1,-1.747046661E1,5.099950790E0
1.623865458E0,-4.784627151E1,-1.464447403E1,4.788013458E0
1.633860458E0,-4.871045303E1,-1.173347092E1,4.572323799E0
1.643856458E0,-4.940687561E1,-8.862119675E0,4.273469925E0
1.653851458E0,-4.990191269E1,-6.257717133E0,4.207821846E0
1.663846458E0,-5.010700226E1,-3.893524170E0,4.720484734E0
1.673842458E0,-5.023008347E1,-1.815851212E0,5.420270920E0
1.683837458E0,-5.016470718E1,9.543609619E-2,6.197602272E0
1.693833458E0,-5.011243439E1,2.064533234E0,6.808735371E0
1.703828458E0,-4.993088150E1,3.795349121E0,7.428271294E0
1.713823458E0,-4.972050476E1,5.137371063E0,8.523134232E0
1.723819458E0,-4.932405472E1,6.152778625E0,9.957386971E0
1.733814458E0,-4.889134979E1,7.092529297E0,1.164606762E1
1.743810458E0,-4.842185593E1,7.985763550E0,1.317799091E1
1.753805458E0,-4.788121796E1,8.866584778E0,1.457191277E1
1.763800458E0,-4.748218536E1,9.475135803E0,1.548644733E1
1.773796458E0,-4.739904022E1,9.679443359E0,1.572059917E1
1.783791458E0,-4.749925232E1,9.454727173E0,1.541289902E1
1.793787458E0,-4.774187851E1,9.116550446E0,1.483258820E1
1.803782458E0,-4.797374344E1,8.814643860E0,1.403926468E1
1.813777458E0,-4.833310318E1,8.755210876E0,1.281443501E1
1.823773458E0,-4.878664780E1,8.892353058E0,1.095815277E1
1.833768458E0,-4.921244812E1,9.023700714E0,8.502225876E0
1.843764458E0,-4.957152557E1,8.974456787E0,5.604262352E0
1.853759458E0,-4.986568069E1,8.706008911E0,2.471692085E0
1.863754458E0,-4.999650192E1,8.238323212E0,-3.082246780E-1
1.873750458E0,-5.007955170E1,7.653926849E0,-2.314366341E0
1.883745458E0,-5.010898209E1,7.069149017E0,-3.318140984E0
1.893741458E0,-5.014827347E1,6.643798828E0,-3.177336693E0
1.903736458E0,-5.019613647E1,6.335205078E0,-2.275052071E0
1.913731458E0,-5.026091003E1,6.023509979E0,-1.519763947E0
1.923727458E0,-5.036095047E1,5.727863312E0,-1.090869904E0
1.933722458E0,-5.047057343E1,5.421176910E0,-6.761007309E-1
1.943718458E0,-5.047856522E1,5.112163544E0,-2.434921265E-2
1.953713458E0,-5.058524323E1,5.192550659E0,1.445674896E-2
1.963708458E0,-5.059467697E1,5.182659149E0,5.740623474E-1
1.973704458E0,-5.057472229E1,5.197387695E0,1.439782143E0
1.983699458E0,-5.052937317E1,5.207538605E0,2.477201462E0
1.993695458E0,-5.043891144E1,5.387836456E0,3.214831352E0
2.003690458E0,-5.041819382E1,5.568832397E0,3.883512497E0
2.013685458E0,-5.034539413E1,5.700336456E0,4.590577126E0
2.023681458E0,-5.024319839E1,5.581962585E0,5.062313080E0
2.033676458E0,-5.025621414E1,5.152271271E0,5.235107422E0
2.043672458E0,-5.032000351E1,4.531040192E0,5.116419792E0
2.053667458E0,-5.032827759E1,3.724533081E0,5.045110703E0
2.063662458E0,-5.035304260E1,2.818264008E0,5.048896790E0
2.073658458E0,-5.031584930E1,1.770408630E0,5.277801514E0
2.083653458E0,-5.023067474E1,5.280990601E-1,5.606865883E0
2.093648458E0,-5.014841461E1,-1.116401672E0,6.043828964E0
2.103644458E0,-4.998274612E1,-2.974058151E0,6.437108040E0
2.113639458E0,-4.963508987E1,-5.110340118E0,7.005240440E0
2.123635458E0,-4.914721680E1,-7.583190918E0,7.602789879E0
2.133630458E0,-4.848047638E1,-1.033323479E1,8.152538300E0
2.143625458E0,-4.749483871E1,-1.330483055E1,8.924980164E0
2.153621458E0,-4.634432602E1,-1.627960968E1,9.663050652E0
2.163616458E0,-4.493949127E1,-1.930387878E1,1.054281998E1
2.173612458E0,-4.340697479E1,-2.210326385E1,1.131236362E1
2.183607458E0,-4.193183517E1,-2.459272766E1,1.184266376E1
2.193602458E0,-4.076222992E1,-2.647036552E1,1.189342690E1
2.203598458E0,-4.001468277E1,-2.773899078E1,1.169137764E1
