"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686155791198857E9,"2023-06-07 18:36:31.199 UTC+02:00"
"PAUSE",2.477605533333554E1,1.686155815974955E9,"2023-06-07 18:36:55.975 UTC+02:00"
