timestep,x,y,z,timestamps,date
0.01581383334,5.925365447999999,7.912918091,-35.43603516,1.4549561056720364e+18,2016-02-08 18:28:25.672036352
0.02583383333,5.788791656,7.967414856,-35.31646729,1.4549561056820562e+18,2016-02-08 18:28:25.682056192
0.03585283333,5.815023422,7.991416931,-35.24713135,1.4549561056920753e+18,2016-02-08 18:28:25.692075264
0.045872833330000015,5.931522369,7.996147156,-35.10287476,1.4549561057020954e+18,2016-02-08 18:28:25.702095360
0.05589283333,5.964952469,8.1300354,-35.31616211,1.4549561057121152e+18,2016-02-08 18:28:25.712115200
0.06591283334,6.078746796,8.345649718999999,-35.42068481,1.4549561057221353e+18,2016-02-08 18:28:25.722135296
0.07593283332999999,6.13051033,8.28225708,-35.26605225,1.4549561057321554e+18,2016-02-08 18:28:25.732155392
0.08595283332999999,6.203720092999999,8.232421875,-35.07727051,1.4549561057421752e+18,2016-02-08 18:28:25.742175232
0.09597283333,6.4075298310000015,8.125183105,-35.31912231,1.4549561057521953e+18,2016-02-08 18:28:25.752195328
0.1059918333,6.575504303,8.017433167,-35.36474609,1.4549561057622144e+18,2016-02-08 18:28:25.762214400
0.1160118333,6.488574982,7.839897156,-35.35223389,1.4549561057722342e+18,2016-02-08 18:28:25.772234240
0.1260318333,6.656894684,7.50075531,-35.23760986,1.4549561057822543e+18,2016-02-08 18:28:25.782254336
0.1360518333,6.812988281,7.344551086,-35.64880371,1.4549561057922742e+18,2016-02-08 18:28:25.792274176
0.1460718333,7.272756577000001,6.856460571,-35.54562378,1.4549561058022943e+18,2016-02-08 18:28:25.802294272
0.1560918333,7.680669785,6.454673767,-35.63372803,1.4549561058123144e+18,2016-02-08 18:28:25.812314368
0.1661118333,8.192863464,6.07611084,-35.51626587,1.4549561058223342e+18,2016-02-08 18:28:25.822334208
0.17613083329999998,8.611526489,6.1822052,-35.23699951,1.4549561058323533e+18,2016-02-08 18:28:25.832353280
0.1861508333,9.129247665,6.420806885,-35.22113037,1.4549561058423734e+18,2016-02-08 18:28:25.842373376
0.1961708333,9.83234024,6.850112915,-34.81582642,1.4549561058523932e+18,2016-02-08 18:28:25.852393216
0.2061908333,10.51311111,7.631752014,-34.34887695,1.4549561058624133e+18,2016-02-08 18:28:25.862413312
0.2162108333,11.21767807,8.461479187,-33.95324707,1.4549561058724334e+18,2016-02-08 18:28:25.872433408
0.2262308333,11.62127495,9.41191864,-33.37414551,1.4549561058824532e+18,2016-02-08 18:28:25.882453248
0.2362508333,11.97232056,10.62744141,-33.1133728,1.4549561058924733e+18,2016-02-08 18:28:25.892473344
0.2462698333,12.338428500000001,11.78285217,-32.55358887,1.4549561059024924e+18,2016-02-08 18:28:25.902492416
0.2562898333,12.49471855,12.925430300000002,-31.92709351,1.4549561059125123e+18,2016-02-08 18:28:25.912512256
0.2663098333,12.461172099999999,14.15718079,-31.47351074,1.4549561059225324e+18,2016-02-08 18:28:25.922532352
0.2763298333,12.22997475,15.63582611,-31.00543213,1.4549561059325522e+18,2016-02-08 18:28:25.932552192
0.2863498333,12.81300926,16.73275757,-29.92160034,1.4549561059425723e+18,2016-02-08 18:28:25.942572288
0.2963698333,13.55513763,17.4934082,-29.00268555,1.4549561059525924e+18,2016-02-08 18:28:25.952592384
0.3063888333,14.23250961,17.70396423,-28.83273315,1.4549561059626112e+18,2016-02-08 18:28:25.962611200
0.3164088333,14.79872131,17.35409546,-28.36956787,1.4549561059726313e+18,2016-02-08 18:28:25.972631296
0.3264288333,15.28582382,16.41895294,-28.44195557,1.4549561059826514e+18,2016-02-08 18:28:25.982651392
0.3364488333,15.59817314,15.77629089,-28.87536621,1.4549561059926712e+18,2016-02-08 18:28:25.992671232
0.3464688333,16.06933784,15.12783813,-29.11669922,1.4549561060026913e+18,2016-02-08 18:28:26.002691328
0.3564888333,16.39694405,14.90907288,-29.11636353,1.4549561060127114e+18,2016-02-08 18:28:26.012711424
0.3665088333,16.87719917,14.6800766,-28.90731812,1.4549561060227313e+18,2016-02-08 18:28:26.022731264
0.3765278333,17.35189819,14.72618866,-28.37887573,1.4549561060327503e+18,2016-02-08 18:28:26.032750336
0.3865478333,17.81829262,14.88069916,-28.15853882,1.4549561060427702e+18,2016-02-08 18:28:26.042770176
0.3965678333,18.07857513,15.03565979,-27.83673096,1.4549561060527903e+18,2016-02-08 18:28:26.052790272
0.4065878333,18.39097214,15.12287903,-27.53085327,1.4549561060628104e+18,2016-02-08 18:28:26.062810368
0.4166078333,18.94551468,15.2902298,-26.97698975,1.4549561060728302e+18,2016-02-08 18:28:26.072830208
0.4266278333,19.53094482,15.47718048,-26.40481567,1.4549561060828503e+18,2016-02-08 18:28:26.082850304
0.4366468333,20.32080078,15.27658081,-25.34558105,1.4549561060928694e+18,2016-02-08 18:28:26.092869376
0.4466668333,21.38576126,15.16409302,-24.81982422,1.4549561061028892e+18,2016-02-08 18:28:26.102889216
0.4566868333,22.41214371,14.78658295,-24.17880249,1.4549561061129093e+18,2016-02-08 18:28:26.112909312
0.4667068333,23.60199165,14.15518188,-22.884887699999997,1.4549561061229294e+18,2016-02-08 18:28:26.122929408
0.4767268333,24.74950981,13.45726776,-22.19415283,1.4549561061329492e+18,2016-02-08 18:28:26.132949248
0.4867468333,25.79584885,12.60919952,-21.46923828,1.4549561061429693e+18,2016-02-08 18:28:26.142969344
0.4967668333,26.75817108,12.11436462,-20.80889893,1.4549561061529892e+18,2016-02-08 18:28:26.152989184
0.5067858332999999,27.46591187,11.71447754,-19.62521362,1.4549561061630083e+18,2016-02-08 18:28:26.163008256
0.5168058333,28.26324654,11.73577118,-18.74765015,1.4549561061730284e+18,2016-02-08 18:28:26.173028352
0.5268258333,28.98381805,11.81269836,-17.36837769,1.4549561061830482e+18,2016-02-08 18:28:26.183048192
0.53684475,29.47263908,11.99350739,-16.36904907,1.4549561061930673e+18,2016-02-08 18:28:26.193067264
0.54686475,29.94703674,12.46988678,-14.62112427,1.454956106203087e+18,2016-02-08 18:28:26.203087104
0.55688475,30.24871826,13.03321075,-13.53125,1.4549561062131072e+18,2016-02-08 18:28:26.213107200
0.56690375,30.59726334,13.87350464,-12.18304443,1.4549561062231263e+18,2016-02-08 18:28:26.223126272
0.57692375,30.76444626,14.63256836,-10.80947876,1.454956106233146e+18,2016-02-08 18:28:26.233146112
0.58694375,30.91045952,15.17359924,-9.471801758,1.4549561062431662e+18,2016-02-08 18:28:26.243166208
0.59696375,30.84141541,15.92794037,-8.016998291,1.4549561062531863e+18,2016-02-08 18:28:26.253186304
0.60698375,30.76825333,16.63076019,-7.24520874,1.4549561062632061e+18,2016-02-08 18:28:26.263206144
0.61700375,30.48694229,17.44481659,-6.0036315920000005,1.4549561062732262e+18,2016-02-08 18:28:26.273226240
0.62702375,30.30400658,18.16359711,-4.860931396000001,1.4549561062832463e+18,2016-02-08 18:28:26.283246336
0.63704275,29.91188622,19.05132294,-4.087280273,1.4549561062932652e+18,2016-02-08 18:28:26.293265152
0.64706275,29.501350399999996,19.89001465,-3.44229126,1.4549561063032852e+18,2016-02-08 18:28:26.303285248
0.65708275,29.03662682,20.6580658,-2.834381104,1.454956106313305e+18,2016-02-08 18:28:26.313305088
0.66710275,28.55602264,21.60250854,-2.408203125,1.4549561063233252e+18,2016-02-08 18:28:26.323325184
0.67712275,27.95055771,22.41893768,-1.796508789,1.4549561063333453e+18,2016-02-08 18:28:26.333345280
0.68714275,27.3844223,23.1484375,-1.461608887,1.454956106343365e+18,2016-02-08 18:28:26.343365120
0.69716275,26.77227783,23.81822968,-0.8785095215000001,1.4549561063533852e+18,2016-02-08 18:28:26.353385216
0.70718175,26.24888611,24.39761353,-0.5478515625,1.4549561063634043e+18,2016-02-08 18:28:26.363404288
0.71720175,25.84148788,24.94454956,-0.2476196289,1.454956106373424e+18,2016-02-08 18:28:26.373424128
0.72722175,25.47381592,25.53175354,0.2862243652,1.4549561063834442e+18,2016-02-08 18:28:26.383444224
0.73724175,24.9968605,26.02832031,0.3905944824,1.4549561063934643e+18,2016-02-08 18:28:26.393464320
0.74726175,24.48236275,26.47868347,0.4970397949,1.4549561064034842e+18,2016-02-08 18:28:26.403484160
0.75728175,24.13050461,26.70365143,0.1044311523,1.4549561064135043e+18,2016-02-08 18:28:26.413504256
0.76730075,24.01750183,27.00363922,-0.5065917969,1.4549561064235233e+18,2016-02-08 18:28:26.423523328
0.77732075,23.763679500000002,27.099876399999996,-1.120513916,1.4549561064335432e+18,2016-02-08 18:28:26.433543168
