timestep,x,timestamps,date
-0.5822769167,1020.246582,1.4549561050739456e+18,2016-02-08 18:28:25.073945600
0.4197270832999999,1020.250244,1.4549561060759496e+18,2016-02-08 18:28:26.075949568
1.421664083,1020.253983,1.4549561070778865e+18,2016-02-08 18:28:27.077886464
2.423634083,1020.262909,1.4549561080798566e+18,2016-02-08 18:28:28.079856640
3.425913083,1020.285873,1.4549561090821356e+18,2016-02-08 18:28:29.082135552
4.427614083,1020.285873,1.4549561100838367e+18,2016-02-08 18:28:30.083836672
4.977115083,1020.285873,1.4549561106333376e+18,2016-02-08 18:28:30.633337600
5.979030083,1020.294037,1.4549561116352525e+18,2016-02-08 18:28:31.635252480
6.980995083,1020.294037,1.4549561126372175e+18,2016-02-08 18:28:32.637217536
7.983015083,1020.294342,1.4549561136392376e+18,2016-02-08 18:28:33.639237632
8.984926083,1020.294342,1.4549561146411487e+18,2016-02-08 18:28:34.641148672
9.986979083,1020.294342,1.4549561156432015e+18,2016-02-08 18:28:35.643201536
10.98893508,1020.294952,1.4549561166451576e+18,2016-02-08 18:28:36.645157632
11.99087108,1020.293884,1.4549561176470935e+18,2016-02-08 18:28:37.647093504
12.99271508,1020.295639,1.4549561186489375e+18,2016-02-08 18:28:38.648937472
13.99478808,1020.295639,1.4549561196510106e+18,2016-02-08 18:28:39.651010560
14.99670008,1020.295639,1.4549561206529226e+18,2016-02-08 18:28:40.652922624
15.99862008,1020.29129,1.4549561216548426e+18,2016-02-08 18:28:41.654842624
17.00059008,1020.29007,1.4549561226568125e+18,2016-02-08 18:28:42.656812544
18.00248508,1020.283585,1.4549561236587075e+18,2016-02-08 18:28:43.658707456
19.00441708,1020.283127,1.4549561246606395e+18,2016-02-08 18:28:44.660639488
20.00644908,1020.280685,1.4549561256626716e+18,2016-02-08 18:28:45.662671616
21.00837908,1020.278015,1.4549561266646016e+18,2016-02-08 18:28:46.664601600
22.01022608,1020.275955,1.4549561276664486e+18,2016-02-08 18:28:47.666448640
23.01243408,1020.274734,1.4549561286686566e+18,2016-02-08 18:28:48.668656640
24.01406608,1020.273056,1.4549561296702886e+18,2016-02-08 18:28:49.670288640
25.01614908,1020.271225,1.4549561306723715e+18,2016-02-08 18:28:50.672371456
26.01795408,1020.270996,1.4549561316741765e+18,2016-02-08 18:28:51.674176512
27.01988108,1020.268402,1.4549561326761034e+18,2016-02-08 18:28:52.676103424
28.02190408,1020.26741,1.4549561336781266e+18,2016-02-08 18:28:53.678126592
29.02374208,1020.266266,1.4549561346799647e+18,2016-02-08 18:28:54.679964672
30.02562408,1020.264664,1.4549561356818465e+18,2016-02-08 18:28:55.681846528
31.02768708,1020.263519,1.4549561366839096e+18,2016-02-08 18:28:56.683909632
32.02953308,1020.26329,1.4549561376857556e+18,2016-02-08 18:28:57.685755648
33.03145108,1020.262756,1.4549561386876736e+18,2016-02-08 18:28:58.687673600
34.03341508,1020.262451,1.4549561396896376e+18,2016-02-08 18:28:59.689637632
35.03530008,1020.262299,1.4549561406915226e+18,2016-02-08 18:29:00.691522560
36.03722308,1020.261993,1.4549561416934456e+18,2016-02-08 18:29:01.693445632
37.03970508,1020.260773,1.4549561426959276e+18,2016-02-08 18:29:02.695927552
38.04139408,1020.260315,1.4549561436976166e+18,2016-02-08 18:29:03.697616640
39.04307808,1020.255432,1.4549561446993006e+18,2016-02-08 18:29:04.699300608
40.04502208,1020.252838,1.4549561457012444e+18,2016-02-08 18:29:05.701244416
41.04700608,1020.241547,1.4549561467032284e+18,2016-02-08 18:29:06.703228416
40.49260183000001,1020.18074,1.4549561461488243e+18,2016-02-08 18:29:06.148824320
41.49484683000001,1020.180969,1.4549561471510692e+18,2016-02-08 18:29:07.151069184
42.49655183000001,1020.181198,1.4549561481527744e+18,2016-02-08 18:29:08.152774400
43.49840783000001,1020.18364,1.4549561491546304e+18,2016-02-08 18:29:09.154630400
44.50042483000001,1020.201035,1.4549561501566472e+18,2016-02-08 18:29:10.156647168
45.50232783000001,1020.201035,1.4549561511585503e+18,2016-02-08 18:29:11.158550272
46.05182183000001,1020.201035,1.4549561517080443e+18,2016-02-08 18:29:11.708044288
47.05383883000001,1020.20256,1.4549561527100613e+18,2016-02-08 18:29:12.710061312
48.055731830000006,1020.20256,1.4549561537119542e+18,2016-02-08 18:29:13.711954176
49.057670830000006,1020.193176,1.4549561547138934e+18,2016-02-08 18:29:14.713893376
50.05963283000001,1020.185699,1.4549561557158554e+18,2016-02-08 18:29:15.715855360
51.062066830000006,1020.176849,1.4549561567182894e+18,2016-02-08 18:29:16.718289408
52.063628830000006,1020.174637,1.4549561577198513e+18,2016-02-08 18:29:17.719851264
53.06550883000001,1020.173492,1.4549561587217313e+18,2016-02-08 18:29:18.721731328
54.06743583000002,1020.173492,1.4549561597236582e+18,2016-02-08 18:29:19.723658240
55.06931883000002,1020.177002,1.4549561607255414e+18,2016-02-08 18:29:20.725541376
56.071262830000016,1020.177002,1.4549561617274852e+18,2016-02-08 18:29:21.727485184
57.07341383000002,1020.177155,1.4549561627296364e+18,2016-02-08 18:29:22.729636352
58.07539283000002,1020.1828,1.4549561637316152e+18,2016-02-08 18:29:23.731615232
59.07736083000002,1020.183105,1.4549561647335834e+18,2016-02-08 18:29:24.733583360
60.07930783000002,1020.186157,1.4549561657355302e+18,2016-02-08 18:29:25.735530240
61.08140883000002,1020.186157,1.4549561667376312e+18,2016-02-08 18:29:26.737631232
62.08294283000002,1020.188675,1.4549561677391652e+18,2016-02-08 18:29:27.739165184
