timestep,latitude,longitude,h,vel,dir,hor_acc,ver_acc,timestamps,date
0.01776707172,52.36763539,4.870825782,2.855611563,-1.0,-1.0,13.92416658,13.92416658,1.4549561056739896e+18,2016-02-08 18:28:25.673989632
0.4318400621,52.36763539,4.870825782,2.77683115,-1.0,-1.0,13.92416658,13.92416658,1.4549561060880625e+18,2016-02-08 18:28:26.088062464
6.897328973,52.36763539,4.870825782,2.810494304,-1.0,-1.0,13.92416658,13.92416658,1.4549561125535514e+18,2016-02-08 18:28:32.553551360
13.36418307,52.36763539,4.870825782,2.8058972360000003,-1.0,-1.0,13.92416658,13.92416658,1.4549561190204055e+18,2016-02-08 18:28:39.020405504
19.83460402,52.36763539,4.870825782,2.93736577,-1.0,-1.0,13.92416658,13.92416658,1.4549561254908265e+18,2016-02-08 18:28:45.490826496
26.30907905,52.36763539,4.870825782,2.956127048,-1.0,-1.0,13.92416658,13.92416658,1.4549561319653015e+18,2016-02-08 18:28:51.965301504
32.777017,52.36763539,4.870825782,2.965762377,-1.0,-1.0,13.92416658,13.92416658,1.4549561384332396e+18,2016-02-08 18:28:58.433239552
33.999843,52.36763539,4.870825782,2.963932514,-1.0,-1.0,13.92416658,13.92416658,1.4549561396560655e+18,2016-02-08 18:28:59.656065536
40.47866404,52.36763539,4.870825782,3.001606107,-1.0,-1.0,13.92416658,13.92416658,1.4549561461348864e+18,2016-02-08 18:29:06.134886400
40.49617493096,52.36763539,4.870825782,-1.178021908,-1.0,-1.0,13.92416658,13.92416658,1.4549561461523973e+18,2016-02-08 18:29:06.152397312
40.9547660345,52.36763539,4.870825782,2.730996966,-1.0,-1.0,13.92416658,13.92416658,1.4549561466109885e+18,2016-02-08 18:29:06.610988544
47.447728037,52.36763539,4.870825782,2.723691702,-1.0,-1.0,13.92416658,13.92416658,1.4549561531039506e+18,2016-02-08 18:29:13.103950592
53.93002295,52.36763539,4.870825782,2.740435719,-1.0,-1.0,13.92416658,13.92416658,1.4549561595862454e+18,2016-02-08 18:29:19.586245376
60.41923403999999,52.36763539,4.870825782,2.72743535,-1.0,-1.0,13.92416658,13.92416658,1.4549561660754565e+18,2016-02-08 18:29:26.075456512
66.90810597,52.36763539,4.870825782,2.790302873,-1.0,-1.0,13.92416658,13.92416658,1.4549561725643284e+18,2016-02-08 18:29:32.564328448
73.39288198999998,52.36763539,4.870825782,2.689445019,-1.0,-1.0,13.92416658,13.92416658,1.4549561790491044e+18,2016-02-08 18:29:39.049104384
79.87579595999998,52.36763539,4.870825782,2.630396366,-1.0,-1.0,13.92416658,13.92416658,1.4549561855320184e+18,2016-02-08 18:29:45.532018432
85.96417593999998,52.36763539,4.870825782,2.600556135,-1.0,-1.0,13.92416658,13.92416658,1.4549561916203983e+18,2016-02-08 18:29:51.620398336
86.03150796933998,52.36763539,4.870825782,-1.489272356,-1.0,-1.0,13.92416658,13.92416658,1.4549561916877304e+18,2016-02-08 18:29:51.687730432
86.4386049513,52.36763539,4.870825782,2.94618535,-1.0,-1.0,13.92416658,13.92416658,1.4549561920948275e+18,2016-02-08 18:29:52.094827520
93.09409797200001,52.36763539,4.870825782,2.871835828,-1.0,-1.0,13.92416658,13.92416658,1.4549561987503204e+18,2016-02-08 18:29:58.750320384
99.58178698999998,52.36763539,4.870825782,2.897511244,-1.0,-1.0,13.92416658,13.92416658,1.4549562052380093e+18,2016-02-08 18:30:05.238009344
106.07503103999998,52.36763539,4.870825782,2.7993111610000003,-1.0,-1.0,13.92416658,13.92416658,1.4549562117312535e+18,2016-02-08 18:30:11.731253504
112.56981695,52.36763539,4.870825782,2.751489282,-1.0,-1.0,13.92416658,13.92416658,1.4549562182260393e+18,2016-02-08 18:30:18.226039296
119.09180605,52.36763539,4.870825782,2.795032859,-1.0,-1.0,13.92416658,13.92416658,1.4549562247480284e+18,2016-02-08 18:30:24.748028416
119.10679506844,52.36763539,4.870825782,3.0019875760000003,-1.0,-1.0,13.92416658,13.92416658,1.4549562247630175e+18,2016-02-08 18:30:24.763017472
119.14642202443001,52.36729299,4.869750403,-1.088226199,-1.0,-1.0,2000.0,2000.0,1.4549562248026445e+18,2016-02-08 18:30:24.802644480
119.15408908908998,52.36711055,4.86910222,-1.088226199,-1.0,-1.0,2000.0,2000.0,1.4549562248103117e+18,2016-02-08 18:30:24.810311680
119.53909611290001,52.36763539,4.870825782,3.067836523,-1.0,-1.0,13.92416658,13.92416658,1.4549562251953185e+18,2016-02-08 18:30:25.195318528
121.16633903600001,52.36763539,4.870825782,3.090816438,-1.0,-1.0,13.92416658,13.92416658,1.4549562268225615e+18,2016-02-08 18:30:26.822561536
126.00755309600001,52.36763539,4.870825782,3.110218287,-1.0,-1.0,13.92416658,13.92416658,1.4549562316637755e+18,2016-02-08 18:30:31.663775488
132.50489306,52.36763539,4.870825782,2.97420454,-1.0,-1.0,13.92416658,13.92416658,1.4549562381611156e+18,2016-02-08 18:30:38.161115648
138.98208105,52.36763539,4.870825782,2.871161103,-1.0,-1.0,13.92416658,13.92416658,1.4549562446383035e+18,2016-02-08 18:30:44.638303488
145.49205410000005,52.36763539,4.870825782,2.773062587,-1.0,-1.0,13.92416658,13.92416658,1.4549562511482765e+18,2016-02-08 18:30:51.148276480
151.97361707000005,52.36763539,4.870825782,2.775513768,-1.0,-1.0,13.92416658,13.92416658,1.4549562576298396e+18,2016-02-08 18:30:57.629839616
158.45488405000003,52.36763539,4.870825782,2.871161461,-1.0,-1.0,13.92416658,13.92416658,1.4549562641111066e+18,2016-02-08 18:31:04.111106560
