timestep,x,y,z,timestamps,date
0.004541833332,1.3582754519999998,1.754202118,9.353299713,1.4549561056607644e+18,2016-02-08 18:28:25.660764416
0.014561833330000001,1.612895966,1.417103119,9.527088317999999,1.4549561056707843e+18,2016-02-08 18:28:25.670784256
0.02458183334,1.904639282,1.192420349,9.493707732999999,1.4549561056808044e+18,2016-02-08 18:28:25.680804352
0.034600833330000004,2.216440887,1.023421783,9.454638977,1.4549561056908234e+18,2016-02-08 18:28:25.690823424
0.044620833330000005,2.431244202,0.8936416626000001,9.569599915,1.4549561057008433e+18,2016-02-08 18:28:25.700843264
0.054640833329999985,2.547402649,0.9541159058,10.03453308,1.4549561057108634e+18,2016-02-08 18:28:25.710863360
0.06466083333,2.852468262,1.406175842,10.57640625,1.4549561057208832e+18,2016-02-08 18:28:25.720883200
0.07468083334,2.604434052,1.455722809,10.55245605,1.4549561057309033e+18,2016-02-08 18:28:25.730903296
0.08470083332999999,1.7859361269999998,1.565294952,10.64586182,1.4549561057409234e+18,2016-02-08 18:28:25.740923392
0.09472083333,2.740501099,0.5986051941,10.61382843,1.4549561057509432e+18,2016-02-08 18:28:25.750943232
0.1047398333,2.389780426,0.637224884,9.596693573,1.4549561057609623e+18,2016-02-08 18:28:25.760962304
0.1147598333,2.184108124,2.324516144,9.814041595,1.4549561057709824e+18,2016-02-08 18:28:25.770982400
0.1247798333,1.710193634,3.33476532,10.72938812,1.4549561057810022e+18,2016-02-08 18:28:25.781002240
0.1347998333,0.9852511597,3.47053299,10.70558762,1.4549561057910223e+18,2016-02-08 18:28:25.791022336
0.1448198333,1.006357269,3.035537567,10.40366547,1.4549561058010422e+18,2016-02-08 18:28:25.801042176
0.1548398333,1.045875092,2.805316315,10.17808456,1.4549561058110623e+18,2016-02-08 18:28:25.811062272
0.1648598333,1.249302063,2.389181671,8.912466431,1.4549561058210824e+18,2016-02-08 18:28:25.821082368
0.17487883329999998,2.130818939,-0.1029858398,8.146658936,1.4549561058311012e+18,2016-02-08 18:28:25.831101184
0.1848988333,2.408790894,-1.258133698,7.683522034,1.4549561058411213e+18,2016-02-08 18:28:25.841121280
0.1949188333,-1.956281891,3.143612823,4.8160849,1.4549561058511414e+18,2016-02-08 18:28:25.851141376
0.2049388333,-0.9809101868,2.196083221,10.94538895,1.4549561058611612e+18,2016-02-08 18:28:25.861161216
0.2149588333,-0.3302133179,-0.1369651794,9.502689056,1.4549561058711813e+18,2016-02-08 18:28:25.871181312
0.2249788333,-0.7405101013,0.1803749084,6.7207241820000005,1.4549561058812014e+18,2016-02-08 18:28:25.881201408
0.2349988333,-3.0678703310000004,1.106049957,6.58061554,1.4549561058912212e+18,2016-02-08 18:28:25.891221248
0.2450178333,-3.318898315,-0.4284091187,7.6161621089999985,1.4549561059012403e+18,2016-02-08 18:28:25.901240320
0.2550378333,-2.778671722,-2.616409149,7.416627045,1.4549561059112604e+18,2016-02-08 18:28:25.911260416
0.2650578333,-2.544109497,-3.738326111,7.002438354,1.4549561059212803e+18,2016-02-08 18:28:25.921280256
0.2750778333,-0.9749226379,-5.376669159,5.717510376,1.4549561059313004e+18,2016-02-08 18:28:25.931300352
0.2850978333,9.318422241,-8.246501312000001,5.997278595,1.4549561059413202e+18,2016-02-08 18:28:25.941320192
0.2951178333,3.339106293,-2.282752991,15.14176254,1.4549561059513403e+18,2016-02-08 18:28:25.951340288
0.3051368333,-3.14989975,3.842359772,10.1430574,1.4549561059613594e+18,2016-02-08 18:28:25.961359360
0.3151568333,-3.136427765,-1.806144104,13.18787567,1.4549561059713792e+18,2016-02-08 18:28:25.971379200
0.3251768333,-2.076781311,-6.362818451,11.08115662,1.4549561059813993e+18,2016-02-08 18:28:25.981399296
