"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686203628535621E9,"2023-06-08 07:53:48.536 UTC+02:00"
"PAUSE",2.151079716666572E1,1.686203650046672E9,"2023-06-08 07:54:10.047 UTC+02:00"
