"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686146132956523E9,"2023-06-07 15:55:32.957 UTC+02:00"
"PAUSE",3.447797716666537E1,1.686146167433787E9,"2023-06-07 15:56:07.434 UTC+02:00"
