"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.915965833E-1,1.486282110E0,1.346446991E0,7.704468966E-1
8.016155833E-1,1.351460934E0,1.022625446E0,7.089505196E-1
8.116345833E-1,1.050470233E0,2.355820537E-1,4.841631949E-1
8.216535833E-1,5.991717577E-1,-7.473102212E-1,-9.505224228E-2
8.316735833E-1,3.482900560E-2,-1.583732843E0,-9.716036320E-1
8.416925833E-1,-6.234481931E-1,-2.356551647E0,-1.815570235E0
8.517115833E-1,-1.260116100E0,-3.182519436E0,-2.440598726E0
8.617305833E-1,-1.742377281E0,-3.847638607E0,-2.770135164E0
8.717495833E-1,-2.095474958E0,-3.923926353E0,-2.739630699E0
8.817695833E-1,-2.365367413E0,-3.008122206E0,-2.611113071E0
8.917885833E-1,-2.274234533E0,-1.340715051E0,-1.936247468E0
9.018075833E-1,-1.748179197E0,2.577083409E-1,-9.875748754E-1
9.118265833E-1,-1.071476221E0,8.325138688E-1,6.450112909E-2
9.218455833E-1,-5.880981088E-1,3.697121441E-1,7.092739940E-1
9.318645833E-1,-4.723487198E-1,-4.891686738E-1,4.603062868E-1
9.418845833E-1,-6.265529394E-1,-1.264452934E0,-3.750168085E-1
9.519066250E-1,-9.206583500E-1,-1.431681156E0,-1.140743256E0
9.619256250E-1,-1.214309454E0,-1.048236489E0,-1.527475357E0
9.719446250E-1,-1.249960065E0,-4.550277591E-1,-1.705451846E0
9.819636250E-1,-1.004195333E0,1.794620752E-1,-1.961498260E0
9.919826250E-1,-7.132485509E-1,5.357569456E-1,-2.312966347E0
1.002002625E0,-4.559935927E-1,9.384329915E-1,-2.589637756E0
1.012021625E0,-2.022355646E-1,1.379102230E0,-2.893818617E0
1.022040625E0,1.073690690E-2,1.578549862E0,-3.316712618E0
1.032059625E0,1.208175123E-1,1.137950897E0,-3.790380239E0
1.042078625E0,1.349559724E-1,3.591981232E-1,-4.273810387E0
1.052098625E0,4.656881467E-2,-2.647660673E-1,-4.753834248E0
1.062117625E0,-1.372798383E-1,-4.446937740E-1,-5.174268246E0
1.072136625E0,-3.669293225E-1,9.051258117E-2,-5.474301815E0
1.082155625E0,-4.832111895E-1,1.495431781E0,-5.708956718E0
1.092174625E0,-4.098157287E-1,3.267589331E0,-5.963983059E0
1.102193625E0,-2.059153467E-1,4.830714703E0,-6.471059322E0
1.112213625E0,1.849588007E-1,6.009802818E0,-7.125319481E0
1.122232625E0,7.455986738E-1,6.906154633E0,-7.677558899E0
1.132251625E0,1.276075363E0,7.128826618E0,-7.665333748E0
1.142270625E0,1.650271535E0,6.993546963E0,-7.192510605E0
1.152289625E0,1.567615509E0,6.594076157E0,-6.398772717E0
1.162309625E0,-4.770356715E-1,4.447763920E0,-4.699071407E0
1.172328625E0,-2.815835238E0,1.590144515E0,-2.524009943E0
1.182347625E0,-3.319860458E0,2.003281862E-1,-9.473943114E-1
1.192366625E0,-2.886838198E0,-6.488330364E-1,8.363390341E-3
1.202385625E0,-1.923851013E0,-1.442047596E0,6.175569296E-1
1.212404625E0,-8.049041629E-1,-2.085730553E0,9.649252892E-1
1.222424625E0,6.645017862E-2,-2.678205013E0,1.326167107E0
1.232443625E0,6.059851646E-1,-3.233004570E0,1.753843784E0
1.242462625E0,9.030450583E-1,-3.772193193E0,2.240359545E0
1.252481625E0,1.133139133E0,-4.247884274E0,2.748245478E0
1.262500625E0,1.286941767E0,-4.832879066E0,3.038423300E0
1.272520625E0,1.197923899E0,-5.857036114E0,2.467486620E0
1.282539625E0,1.416705728E0,-5.558512688E0,1.847661257E0
1.292558625E0,1.282226324E0,-5.944882870E0,1.012549520E0
1.302577625E0,7.242872119E-1,-5.744195938E0,5.663130432E-2
1.312596625E0,-1.934080720E0,-2.663556099E0,-7.032864094E-1
1.322616625E0,-2.987797022E0,-1.223911047E0,-1.104860187E0
1.332635625E0,-2.898919106E0,-9.913972020E-1,-1.191702127E0
1.342654625E0,-2.389715433E0,-5.597608089E-1,-1.095817447E0
1.352673625E0,-1.258045912E0,-7.167199999E-2,-1.033745885E0
1.362692625E0,2.440898120E-1,-1.137776449E-1,-1.191087842E0
1.372712625E0,1.177385449E0,-9.074696302E-1,-1.400808573E0
1.382731625E0,1.365069032E0,-1.312419295E0,-1.594566822E0
1.392750625E0,6.404613853E-1,-3.911390603E-1,-1.777988791E0
1.402769625E0,-1.762675121E-2,6.858224869E-1,-1.933814406E0
1.412788625E0,1.869922690E-2,1.646500945E0,-2.132274389E0
1.422808625E0,3.151362240E-1,2.379564047E0,-2.150037527E0
1.432827625E0,5.040056109E-1,2.644646883E0,-1.883287549E0
1.442846625E0,4.910930097E-1,2.569071770E0,-1.417741179E0
1.452865625E0,1.383354217E-1,2.186897278E0,-8.390205503E-1
1.462884625E0,-4.588760734E-1,1.581771612E0,-2.653404772E-1
1.472904625E0,-8.928099871E-1,9.960371256E-1,2.463320941E-1
1.482923625E0,-9.875556827E-1,6.920588017E-1,6.769346595E-1
1.492942625E0,-8.335055113E-1,4.929655790E-1,9.899719954E-1
1.502961625E0,-4.491335750E-1,8.181505650E-2,1.230676174E0
1.512980625E0,-1.823858544E-2,-6.553804874E-1,1.471533060E0
1.523000625E0,2.733261585E-1,-1.398423433E0,1.782120585E0
1.533019625E0,4.052418768E-1,-1.900419354E0,2.112679958E0
1.543038625E0,4.103285074E-1,-2.209375143E0,2.367281199E0
1.553057625E0,2.607369423E-1,-2.426484346E0,2.501881838E0
1.563076625E0,2.913327515E-2,-2.561354160E0,2.522667885E0
1.573096625E0,-1.804652810E-1,-2.498757601E0,2.404813051E0
1.583115625E0,-3.200266361E-1,-2.209426165E0,2.053849459E0
1.593134625E0,-3.796578646E-1,-1.741140246E0,1.401113629E0
1.603153625E0,-3.913656473E-1,-1.196499586E0,5.337451696E-1
1.613172625E0,-3.380258679E-1,-7.069228888E-1,-3.198583424E-1
1.623192625E0,-2.261294425E-1,-2.766508460E-1,-7.911158800E-1
1.633211625E0,-8.290386200E-2,6.245468557E-2,-7.233918905E-1
1.643230625E0,2.801839635E-2,2.168916613E-1,-3.486049771E-1
1.653249625E0,6.841568649E-2,2.000298947E-1,4.661298916E-2
1.663268625E0,3.416930139E-2,4.202077165E-3,2.457215637E-1
1.673288625E0,-8.492242545E-3,-2.884325683E-1,2.647208273E-1
1.683307625E0,-6.882323325E-2,-5.405388474E-1,2.082466632E-1
1.693326625E0,-1.466166824E-1,-7.202281356E-1,1.685437858E-1
1.703345625E0,-1.935146749E-1,-8.074302077E-1,1.836548299E-1
1.713364625E0,-1.982612908E-1,-7.782732248E-1,2.122175843E-1
1.723384625E0,-1.729993373E-1,-6.781157255E-1,2.553514838E-1
1.733403625E0,-1.313127875E-1,-5.343170762E-1,2.868534029E-1
1.743422625E0,-7.541941106E-2,-4.242067933E-1,2.910934091E-1
1.753441625E0,-5.045198649E-2,-4.177390933E-1,2.705229521E-1
1.763461625E0,-5.754584819E-2,-4.882582724E-1,2.262175381E-1
1.773480625E0,-7.327027619E-2,-5.742055774E-1,1.774661392E-1
1.783499625E0,-9.260801971E-2,-6.194713116E-1,1.297489554E-1
1.793518625E0,-1.206038445E-1,-6.342267394E-1,1.099992394E-1
1.803537625E0,-1.513289958E-1,-6.192336679E-1,1.232583225E-1
1.813557625E0,-1.429927498E-1,-5.714203715E-1,1.680588871E-1
1.823576625E0,-1.106939316E-1,-5.488873720E-1,2.251075357E-1
1.833595625E0,-5.512782559E-2,-5.007325411E-1,2.764226496E-1
1.843614625E0,-1.655548811E-3,-4.529698491E-1,3.213458955E-1
1.853633625E0,3.112665564E-2,-4.474769533E-1,3.613321185E-1
1.863653625E0,2.943395078E-2,-4.178972244E-1,4.067936242E-1
1.873672625E0,-1.171592902E-2,-3.180805743E-1,4.517942667E-1
1.883691625E0,-7.898710668E-2,-1.186420396E-1,5.194327235E-1
1.893710625E0,-1.288061887E-1,1.599545032E-1,5.937703848E-1
1.903730625E0,-1.559283435E-1,4.519471824E-1,6.649665833E-1
1.913749625E0,-1.961199790E-1,6.280703545E-1,7.014072537E-1
1.923768625E0,-2.044226527E-1,6.696463227E-1,7.009531856E-1
1.933787625E0,-1.582596302E-1,6.223077774E-1,6.722236276E-1
1.943806625E0,-8.185753971E-2,5.494202971E-1,6.113267541E-1
1.953823125E0,-2.589157782E-3,5.691617727E-1,5.336210132E-1
1.963842125E0,5.598464515E-3,6.578322053E-1,4.624029994E-1
1.973861125E0,-5.430202931E-2,7.564528584E-1,3.931357861E-1
1.983880125E0,-1.206192598E-1,8.775705099E-1,3.772702813E-1
1.993900125E0,-1.411023736E-1,9.584202766E-1,4.099256098E-1
2.003919125E0,-1.162340268E-1,9.086966515E-1,4.612015784E-1
2.013938125E0,-9.258736670E-2,8.059687614E-1,5.560719967E-1
2.023957125E0,-1.166540906E-1,6.359349489E-1,6.357476711E-1
2.033976125E0,-8.345873654E-2,5.331375003E-1,7.112388611E-1
2.043996125E0,-1.989493892E-2,5.260292888E-1,7.602053285E-1
2.054015125E0,-2.469557151E-2,5.312604904E-1,7.522029877E-1
2.064034125E0,-1.100906283E-1,4.883380830E-1,6.679168344E-1
2.074053125E0,-1.837566942E-1,4.696156681E-1,5.717936158E-1
2.084072125E0,-1.910921037E-1,4.069530666E-1,4.590262771E-1
2.094092125E0,-1.082573682E-1,3.857364357E-1,3.729757071E-1
2.104111125E0,-3.911783919E-3,4.594367445E-1,3.590998352E-1
2.114130125E0,4.613438621E-2,4.460008740E-1,3.335699439E-1
2.124149125E0,7.309862971E-2,4.158262014E-1,3.144817352E-1
2.134169125E0,6.865224242E-2,5.049206018E-1,3.019095361E-1
2.144188125E0,1.950573549E-2,6.035664678E-1,2.706946135E-1
2.154207125E0,-2.272267640E-2,6.465219259E-1,1.935966462E-1
2.164226125E0,-2.010851726E-2,6.025896072E-1,8.586964756E-2
2.174245125E0,3.211417794E-2,5.341768265E-1,-3.176116198E-2
2.184265125E0,1.013313308E-1,5.192034841E-1,-1.185988560E-1
2.194284125E0,1.732914150E-1,5.093758106E-1,-1.732967347E-1
2.204303125E0,1.904727966E-1,4.991013110E-1,-2.065186054E-1
2.214322125E0,2.351467758E-1,4.291170835E-1,-2.415676117E-1
2.224342125E0,2.149610817E-1,2.517771721E-1,-3.362003863E-1
2.234361125E0,1.718803197E-1,1.652788371E-1,-4.120028913E-1
2.244380125E0,1.708797663E-1,2.826134562E-1,-3.839366436E-1
2.254399125E0,1.700199246E-1,3.667376339E-1,-3.561490774E-1
2.264418125E0,1.776722670E-1,3.003032207E-1,-3.858702183E-1
2.274438125E0,2.422847599E-1,3.074500263E-1,-4.396013618E-1
2.284457125E0,3.125639856E-1,3.962850869E-1,-5.236677527E-1
2.294476125E0,3.320641220E-1,4.324077368E-1,-6.474727392E-1
2.304495125E0,3.375235796E-1,4.010732770E-1,-7.476278543E-1
2.314515125E0,3.304102719E-1,2.672381699E-1,-8.295833468E-1
2.324534125E0,3.538700640E-1,1.245113835E-1,-8.772515059E-1
2.334553125E0,3.874352872E-1,1.149522364E-1,-9.015890956E-1
2.344572125E0,4.234444201E-1,9.135822207E-2,-9.295948744E-1
2.354591125E0,4.628156722E-1,4.173383489E-2,-9.618696570E-1
2.364611125E0,4.911943376E-1,1.651796140E-2,-9.961474538E-1
2.374630125E0,5.081175566E-1,3.908212483E-2,-1.030520797E0
2.384649125E0,5.019851327E-1,9.809460491E-3,-1.092602253E0
2.394668125E0,5.179106593E-1,1.322889775E-1,-1.131175280E0
2.404688125E0,4.967087209E-1,2.036710232E-1,-1.197351575E0
2.414707125E0,4.674934149E-1,2.077615410E-1,-1.284151554E0
2.424726125E0,4.373366237E-1,1.958902329E-1,-1.398209929E0
2.434745125E0,4.044715166E-1,2.153020501E-1,-1.499558568E0
2.444764125E0,3.614366949E-1,2.160959393E-1,-1.548992157E0
2.454784125E0,3.254582286E-1,1.525727808E-1,-1.568807244E0
2.464803125E0,3.030517101E-1,5.424808711E-2,-1.587672591E0
2.474822125E0,2.721740901E-1,-4.601769149E-2,-1.603950858E0
2.484841125E0,2.411032468E-1,-1.429186761E-1,-1.594411612E0
2.494861125E0,2.196599841E-1,-2.371260822E-1,-1.533218861E0
2.504880125E0,2.141384482E-1,-3.024044037E-1,-1.425059080E0
2.514899125E0,2.420595884E-1,-3.198327422E-1,-1.289242148E0
2.524918125E0,2.969476283E-1,-2.981021404E-1,-1.161220551E0
2.534938125E0,3.514766395E-1,-2.283222675E-1,-1.132174373E0
2.544957125E0,3.788981438E-1,-1.333816350E-1,-1.186220050E0
2.554976125E0,3.713862300E-1,-3.807785362E-2,-1.270237327E0
2.564995125E0,2.970771194E-1,6.805467419E-3,-1.356272101E0
2.575014125E0,2.240939140E-1,2.639589086E-2,-1.444381714E0
2.585034125E0,1.751881540E-1,-3.027138114E-2,-1.522045374E0
